time,gFx,gFy,gFz,TgF
0.002958,0.9617,-0.0995,-0.2713,1.00
0.008805,0.9608,-0.0975,-0.2706,1.00
0.026444,0.9596,-0.0993,-0.2726,1.00
0.044255,0.9574,-0.0995,-0.2769,1.00
0.073252,0.9564,-0.1014,-0.2791,1.00
0.089554,0.9579,-0.1019,-0.2764,1.00
0.106070,0.9608,-0.1005,-0.2755,1.00
0.126225,0.9584,-0.1010,-0.2740,1.00
0.155666,0.9571,-0.0995,-0.2743,1.00
0.173561,0.9581,-0.0981,-0.2771,1.00
0.190564,0.9574,-0.0986,-0.2762,1.00
0.207258,0.9601,-0.0978,-0.2720,1.00
0.252477,0.9593,-0.0993,-0.2710,1.00
0.252778,0.9593,-0.0993,-0.2710,1.00
0.271894,0.9584,-0.1005,-0.2747,1.00
0.289566,0.9603,-0.1002,-0.2752,1.00
0.307039,0.9589,-0.1019,-0.2757,1.00
0.346869,0.9579,-0.0998,-0.2764,1.00
0.355423,0.9564,-0.0981,-0.2771,1.00
0.372143,0.9566,-0.0981,-0.2775,1.00
0.389836,0.9603,-0.0988,-0.2767,1.00
0.426121,0.9568,-0.0978,-0.2740,1.00
0.439430,0.9584,-0.0993,-0.2775,1.00
0.455640,0.9584,-0.0988,-0.2771,1.00
0.472792,0.9566,-0.0978,-0.2750,1.00
0.490371,0.9564,-0.0978,-0.2782,1.00
0.523788,0.9605,-0.1044,-0.2789,1.01
0.554979,0.9608,-0.0954,-0.2703,1.00
0.555349,0.9608,-0.0954,-0.2703,1.00
0.571267,0.9605,-0.0921,-0.2706,1.00
0.606714,0.9540,-0.0973,-0.2813,1.00
0.623080,0.9564,-0.1039,-0.2808,1.00
0.652324,0.9598,-0.1030,-0.2787,1.00
0.652769,0.9598,-0.1030,-0.2787,1.00
0.672993,0.9564,-0.0990,-0.2796,1.00
0.705982,0.9584,-0.0995,-0.2762,1.00
0.722452,0.9593,-0.0978,-0.2755,1.00
0.741582,0.9574,-0.0970,-0.2743,1.00
0.755306,0.9598,-0.0990,-0.2796,1.00
0.803142,0.9593,-0.0998,-0.2799,1.00
0.803669,0.9581,-0.0993,-0.2803,1.00
0.825805,0.9589,-0.0983,-0.2784,1.00
0.837978,0.9571,-0.0981,-0.2799,1.00
0.872122,0.9568,-0.1005,-0.2803,1.00
0.889941,0.9566,-0.0993,-0.2806,1.00
0.905226,0.9566,-0.0993,-0.2826,1.00
0.921926,0.9579,-0.0988,-0.2789,1.00
0.942592,0.9593,-0.1000,-0.2789,1.00
0.973595,0.9568,-0.0958,-0.2779,1.00
0.987827,0.9581,-0.0973,-0.2775,1.00
1.004787,0.9574,-0.0998,-0.2787,1.00
1.023128,0.9554,-0.0983,-0.2782,1.00
1.042056,0.9577,-0.1002,-0.2787,1.00
1.071871,0.9589,-0.1007,-0.2779,1.00
1.087866,0.9586,-0.1002,-0.2779,1.00
1.104466,0.9561,-0.0965,-0.2796,1.00
1.121470,0.9564,-0.0981,-0.2779,1.00
1.142835,0.9568,-0.0983,-0.2775,1.00
1.171809,0.9581,-0.0988,-0.2769,1.00
1.188613,0.9581,-0.0983,-0.2808,1.00
1.207100,0.9577,-0.1000,-0.2796,1.00
1.220958,0.9568,-0.0993,-0.2794,1.00
1.241806,0.9586,-0.0978,-0.2779,1.00
1.271855,0.9593,-0.0990,-0.2769,1.00
1.288766,0.9552,-0.0983,-0.2791,1.00
1.303842,0.9581,-0.1000,-0.2801,1.00
1.340433,0.9598,-0.1014,-0.2757,1.00
1.353569,0.9610,-0.0998,-0.2740,1.00
