time,gFx,gFy,gFz,TgF
0.003144,1.0029,0.0765,0.0186,1.01
0.010867,0.9989,0.0783,0.0188,1.00
0.041660,0.9960,0.0829,0.0091,1.00
0.059308,0.9950,0.0814,0.0032,1.00
0.088392,0.9999,0.0800,0.0059,1.00
0.091179,0.9996,0.0809,0.0063,1.00
0.124618,1.0033,0.0821,0.0073,1.01
0.140926,1.0006,0.0811,0.0068,1.00
0.157998,0.9989,0.0763,0.0061,1.00
0.184488,1.0013,0.0667,0.0100,1.00
0.191091,1.0011,0.0665,0.0093,1.00
0.225071,1.0020,0.0795,0.0130,1.01
0.241816,0.9987,0.0816,0.0117,1.00
0.260074,1.0016,0.0811,0.0176,1.01
0.284585,1.0006,0.0829,0.0132,1.00
0.307762,1.0016,0.0827,0.0115,1.01
0.323776,0.9994,0.0802,0.0103,1.00
0.340611,0.9945,0.0776,0.0115,1.00
0.357628,0.9994,0.0807,0.0122,1.00
0.386935,1.0020,0.0776,0.0188,1.01
0.407258,1.0024,0.0819,0.0171,1.01
0.426177,1.0001,0.0823,0.0228,1.00
0.441226,1.0006,0.0823,0.0212,1.00
0.457325,0.9994,0.0804,0.0198,1.00
0.478812,1.0011,0.0865,0.0196,1.01
0.498963,1.0038,0.0809,0.0240,1.01
0.523579,0.9975,0.0800,0.0228,1.00
0.541006,0.9969,0.0829,0.0198,1.00
0.557084,0.9967,0.0885,0.0198,1.00
0.578150,1.0008,0.0821,0.0115,1.00
0.607127,0.9999,0.0839,0.0075,1.00
0.623826,0.9972,0.0816,0.0039,1.00
0.641135,0.9955,0.0778,0.0073,1.00
0.658791,0.9964,0.0832,0.0100,1.00
0.689794,0.9967,0.0902,0.0140,1.00
0.707093,1.0001,0.0897,0.0147,1.00
0.724011,1.0031,0.0870,0.0200,1.01
0.740552,1.0041,0.0780,0.0171,1.01
0.777174,1.0020,0.0856,0.0142,1.01
0.790593,0.9967,0.0853,0.0135,1.00
0.806622,0.9950,0.0836,0.0156,1.00
0.823176,0.9984,0.0816,0.0164,1.00
0.842135,1.0020,0.0848,0.0119,1.01
0.881255,0.9999,0.0836,0.0079,1.00
0.882097,0.9999,0.0836,0.0079,1.00
0.914964,1.0016,0.0839,0.0135,1.01
0.923749,0.9992,0.0829,0.0128,1.00
0.957102,1.0013,0.0836,0.0107,1.00
0.978185,1.0041,0.0832,0.0179,1.01
0.989691,1.0001,0.0844,0.0135,1.00
1.006319,0.9977,0.0804,0.0115,1.00
1.039573,0.9977,0.0802,0.0117,1.00
1.056460,0.9975,0.0836,0.0128,1.00
1.078752,1.0033,0.0795,0.0188,1.01
1.089808,1.0026,0.0811,0.0168,1.01
1.106205,0.9982,0.0819,0.0144,1.00
1.139497,0.9980,0.0790,0.0095,1.00
1.156419,0.9999,0.0776,0.0084,1.00
1.176381,1.0004,0.0776,0.0093,1.00
1.189308,1.0016,0.0800,0.0084,1.00
1.222426,1.0001,0.0832,0.0107,1.00
1.239545,1.0004,0.0841,0.0135,1.00
1.256051,0.9999,0.0841,0.0137,1.00
1.278433,1.0018,0.0778,0.0088,1.00
1.290710,1.0020,0.0778,0.0117,1.01
1.325074,1.0018,0.0816,0.0140,1.01
1.340762,0.9962,0.0834,0.0103,1.00
1.357278,0.9948,0.0797,0.0130,1.00
1.381413,1.0006,0.0802,0.0210,1.00
1.394195,1.0033,0.0846,0.0240,1.01
1.423638,1.0011,0.0893,0.0203,1.01
1.440457,1.0020,0.0890,0.0144,1.01
1.458258,1.0029,0.0888,0.0107,1.01
1.477272,1.0045,0.0819,0.0071,1.01
1.491932,1.0008,0.0797,0.0079,1.00
1.522637,0.9989,0.0792,0.0084,1.00
1.538742,0.9972,0.0795,0.0105,1.00
1.557046,0.9969,0.0872,0.0122,1.00
1.579752,0.9972,0.0860,0.0159,1.00
1.605912,1.0016,0.0856,0.0154,1.01
1.622966,1.0020,0.0846,0.0166,1.01
1.639985,1.0033,0.0856,0.0181,1.01
1.656775,1.0041,0.0919,0.0115,1.01
1.679689,0.9989,0.0900,0.0061,1.00
1.704829,0.9964,0.0807,0.0044,1.00
1.722780,0.9980,0.0809,0.0059,1.00
1.739624,1.0011,0.0811,0.0056,1.00
1.755265,1.0029,0.0792,0.0079,1.01
1.781608,1.0006,0.0809,0.0098,1.00
1.804395,0.9996,0.0872,0.0086,1.00
1.821813,0.9999,0.0851,0.0093,1.00
1.837575,0.9969,0.0832,0.0042,1.00
1.876955,1.0018,0.0804,0.0049,1.01
1.892646,1.0016,0.0783,0.0063,1.00
1.904095,1.0006,0.0765,0.0051,1.00
1.922062,0.9955,0.0767,0.0000,1.00
1.938113,0.9987,0.0755,0.0000,1.00
1.976383,1.0062,0.0758,0.0042,1.01
1.988932,1.0041,0.0773,0.0039,1.01
2.004211,1.0038,0.0800,0.0012,1.01
2.021452,0.9982,0.0821,-0.0006,1.00
2.061164,0.9975,0.0827,0.0079,1.00
2.071052,0.9989,0.0856,0.0103,1.00
2.089700,1.0008,0.0883,0.0137,1.00
2.103830,1.0018,0.0916,0.0137,1.01
2.121255,1.0031,0.0900,0.0093,1.01
2.154592,0.9980,0.0760,-0.0004,1.00
2.171494,0.9950,0.0770,-0.0023,1.00
2.192982,0.9962,0.0776,-0.0036,1.00
2.205518,1.0001,0.0778,-0.0036,1.00
2.238003,1.0024,0.0807,-0.0013,1.01
2.255028,1.0033,0.0841,-0.0018,1.01
2.270869,0.9989,0.0832,-0.0023,1.00
2.294118,0.9982,0.0783,-0.0050,1.00
2.308150,0.9977,0.0776,-0.0060,1.00
2.338576,0.9984,0.0739,-0.0099,1.00
