time,gFx,gFy,gFz,TgF
0.009258,0.9689,0.0308,0.0620,0.97
0.025433,0.9708,0.0213,0.0878,0.98
0.053619,0.9911,0.0292,0.1141,1.00
0.069207,1.0060,0.0247,0.1132,1.01
0.086929,1.0104,0.0284,0.1024,1.02
0.126455,0.9803,0.0811,0.0442,0.98
0.136640,0.9747,0.0924,0.0200,0.98
0.159346,0.9718,0.0819,-0.0001,0.98
0.168853,0.9784,0.0704,-0.0011,0.98
0.185583,0.9820,0.0578,0.0196,0.98
0.218726,0.9938,0.0650,0.0845,1.00
0.239127,1.0018,0.0883,0.0931,1.01
0.251879,1.0136,0.1009,0.0872,1.02
0.268389,1.0280,0.0937,0.0882,1.04
0.286264,1.0290,0.0714,0.0773,1.03
0.318365,1.0585,0.0113,0.0326,1.06
0.340105,1.1008,0.0066,0.0902,1.10
0.352305,1.1164,0.0318,0.0591,1.12
0.368435,1.1359,0.0150,0.0333,1.14
0.387396,1.1783,0.0215,0.0377,1.18
0.418465,1.2512,0.1086,0.1305,1.26
0.439090,1.2850,0.1440,0.2858,1.32
0.451805,1.2615,0.1530,0.3310,1.31
0.468379,1.1990,0.1442,0.3322,1.25
0.503227,0.9533,0.2232,0.2573,1.01
0.518892,0.8308,0.2786,0.1954,0.90
0.548451,0.6955,0.3648,-0.0375,0.79
0.552020,0.7028,0.3580,-0.0478,0.79
0.584880,0.9407,0.1559,-0.0321,0.95
0.604117,1.0597,0.0367,0.0499,1.06
0.619697,1.1010,0.0126,0.1181,1.11
0.639378,1.0630,0.0636,0.1127,1.07
0.652152,1.0307,0.1056,0.0874,1.04
0.684638,0.8995,0.1885,0.0320,0.92
0.702396,0.8475,0.2060,0.0247,0.87
0.718486,0.8217,0.1924,0.0249,0.84
0.738872,0.8140,0.1620,0.0254,0.83
0.751498,0.8169,0.1477,0.0284,0.83
0.784618,0.8690,0.1373,0.0103,0.88
0.801894,0.8834,0.1491,-0.0045,0.90
0.818514,0.8944,0.1603,-0.0227,0.91
0.838682,0.8895,0.1762,-0.0199,0.91
0.852638,0.9058,0.1836,0.0079,0.92
0.886415,0.9021,0.1864,-0.0062,0.92
0.902157,0.9281,0.1638,-0.0316,0.94
0.919161,0.9251,0.1352,0.0017,0.93
0.938753,0.9750,0.1523,0.0587,0.99
0.968000,1.0590,0.1635,0.0916,1.08
0.985458,1.0984,0.1703,0.0862,1.11
1.003205,1.1159,0.1864,0.0095,1.13
1.019838,1.1081,0.1579,-0.0779,1.12
1.038398,1.1077,0.1061,-0.1362,1.12
1.067835,1.2049,0.0523,0.0738,1.21
1.085755,1.2740,0.1745,0.1928,1.30
1.101122,1.2564,0.3357,0.1733,1.31
1.119968,1.0786,0.5070,0.0750,1.19
1.137547,0.9198,0.5002,0.0122,1.05
1.167846,0.7998,0.3040,0.0442,0.86
1.185428,0.9000,0.1906,0.1246,0.93
1.200582,0.9838,0.1130,0.2387,1.02
1.226796,1.0509,0.0389,0.4388,1.14
1.241166,1.0321,0.1275,0.3992,1.11
1.269846,1.0270,0.3711,0.2616,1.12
1.284177,1.0255,0.4296,0.2111,1.13
1.300559,0.9843,0.3983,0.1708,1.08
1.322459,0.9542,0.2532,0.1216,0.99
1.349951,0.9102,0.0658,0.0797,0.92
1.366802,0.9014,0.0091,0.0738,0.90
1.385001,0.8709,-0.0089,0.0850,0.88
1.400118,0.8357,0.0028,0.0825,0.84
1.421103,0.8599,0.0264,0.0918,0.87
1.451178,0.8377,0.0525,0.0987,0.85
1.466557,0.8846,0.0497,0.0825,0.89
1.487471,0.8929,0.0176,0.0675,0.90
1.521788,0.8967,0.0086,0.0313,0.90
1.537643,0.9170,0.0054,0.0396,0.92
1.550471,0.9263,0.0252,0.0471,0.93
1.566360,0.9419,0.0590,0.0689,0.95
1.583473,1.0109,0.0926,0.0970,1.02
1.616543,1.0788,0.1479,0.1285,1.10
1.637378,1.0578,0.1708,0.0499,1.07
1.650520,1.0376,0.1410,-0.0229,1.05
1.667017,1.0123,0.0499,-0.0930,1.02
1.683473,1.0092,-0.0089,-0.1066,1.01
1.717284,1.1130,0.0222,0.0005,1.11
1.738190,1.3285,0.1745,-0.0018,1.34
1.751223,1.3421,0.2336,0.0176,1.36
1.765881,1.2855,0.2204,0.0757,1.31
1.800305,1.1753,0.1195,0.2365,1.20
1.816849,1.0231,0.1215,0.3119,1.08
1.836193,0.9256,0.2094,0.3811,1.02
1.849704,0.8746,0.2854,0.3623,0.99
1.866970,0.7712,0.3135,0.2267,0.86
1.901558,0.8220,0.1894,-0.0101,0.84
1.917151,0.9552,0.1093,0.0354,0.96
1.942127,1.1533,0.1030,0.1446,1.17
1.956245,1.1919,0.1364,0.2101,1.22
1.982192,1.2134,0.1994,0.2665,1.26
1.999484,1.1536,0.2209,0.2514,1.20
2.017228,1.0632,0.2023,0.1976,1.10
2.032471,0.9759,0.1816,0.1346,1.00
2.055860,0.8457,0.1291,0.0633,0.86
2.081967,0.7106,0.0834,-0.0199,0.72
2.099742,0.6813,0.0665,-0.0476,0.69
2.116956,0.6874,0.0751,-0.0705,0.70
2.132799,0.7157,0.1181,-0.0666,0.73
2.152314,0.7429,0.1496,-0.0717,0.76
2.182489,0.7634,0.1384,-0.1057,0.78
2.198698,0.8128,0.1224,-0.1213,0.83
2.216085,0.8843,0.1086,-0.1120,0.90
2.232843,0.9669,0.0963,-0.0590,0.97
2.252026,1.1171,0.1110,0.0582,1.12
2.282223,1.1870,0.1728,0.1612,1.21
2.298339,1.2466,0.1887,0.1823,1.27
2.316913,1.2645,0.1850,0.1104,1.28
2.333975,1.1983,0.2023,0.0039,1.22
2.357248,1.0485,0.1862,-0.1780,1.08
2.382264,1.1662,0.1699,-0.0602,1.18
2.398283,1.3262,0.2092,0.0154,1.34
2.415646,1.4159,0.2994,0.1383,1.45
2.451704,0.9351,0.3658,0.2282,1.03
2.465957,0.8369,0.3482,0.2362,0.94
2.482327,0.8296,0.3238,0.2443,0.92
2.498193,0.7991,0.2651,0.2627,0.88
2.534852,0.8755,0.1156,0.2991,0.93
2.549741,0.9246,0.1496,0.2334,0.97
2.565298,1.0024,0.1845,0.1886,1.04
2.585307,1.1017,0.1911,0.1950,1.14
2.604697,1.0776,0.1425,0.1815,1.10
2.634249,0.9137,0.0816,0.0990,0.92
2.647316,0.8594,0.0604,0.0522,0.86
2.664267,0.8362,0.0326,0.0320,0.84
2.681470,0.8264,0.0147,0.0308,0.83
2.714350,0.8643,0.0115,0.0701,0.87
2.731193,0.9083,0.0047,0.0869,0.91
2.751745,0.9041,0.0059,0.1007,0.91
2.765505,0.8876,0.0333,0.0975,0.89
2.797190,0.8467,0.0714,0.0729,0.85
2.813937,0.8469,0.0702,0.0515,0.85
2.835043,0.9168,0.0731,0.0626,0.92
2.848251,0.9698,0.0829,0.0836,0.98
2.864997,1.0031,0.1012,0.0733,1.01
2.897800,1.1130,0.1005,0.0660,1.12
2.919088,1.0991,0.1135,0.0140,1.11
2.931522,1.0497,0.0548,-0.0446,1.05
2.951826,0.9838,-0.0663,-0.1206,0.99
2.965205,1.0395,-0.0907,-0.0710,1.05
2.997933,1.2779,0.1449,0.0878,1.29
3.015036,1.3272,0.2828,0.0547,1.36
3.030427,1.2525,0.2688,0.0857,1.28
3.058048,1.1585,0.1715,0.1873,1.19
3.072673,1.0686,0.1422,0.2390,1.10
