time,gFx,gFy,gFz,TgF
0.011463,0.8902,-0.0135,0.0882,0.89
0.040059,0.8464,0.0071,0.1539,0.86
0.043325,0.8394,0.0120,0.1561,0.85
0.075749,0.7739,0.0389,0.1654,0.79
0.092098,0.7167,0.0660,0.1654,0.74
0.112404,0.6754,0.0988,0.1212,0.69
0.125495,0.6813,0.1100,0.0787,0.69
0.142884,0.6908,0.1019,0.0508,0.70
0.175803,0.7238,0.0582,0.0208,0.73
0.191852,0.7397,0.0228,0.0394,0.74
0.212541,0.7742,-0.0220,0.0284,0.78
0.230131,0.8418,-0.0450,0.0075,0.84
0.258560,0.9694,-0.0306,0.0613,0.97
0.276155,0.9887,0.0401,0.0829,0.99
0.291961,0.9664,0.1251,0.0899,0.98
0.322566,1.0343,0.2566,0.1324,1.07
0.325531,1.0414,0.2625,0.1383,1.08
0.358219,1.1680,0.2868,0.2262,1.22
0.375337,1.3146,0.3138,0.3023,1.38
0.391887,1.3993,0.3343,0.3858,1.49
0.411768,1.4308,0.3848,0.4561,1.55
0.440907,1.3297,0.4151,0.2704,1.42
0.458371,1.2510,0.3924,0.1864,1.32
0.474645,1.2061,0.2945,0.0894,1.24
0.491790,1.1755,0.1591,0.0235,1.19
0.527804,1.1122,-0.0367,0.0713,1.12
0.540583,1.1071,-0.0426,0.1346,1.12
0.557749,1.0754,0.0443,0.1566,1.09
0.575037,1.0642,0.1610,0.1757,1.09
0.590967,1.0280,0.2566,0.2306,1.08
0.612217,0.9293,0.3482,0.2062,1.01
0.641406,0.7644,0.2744,0.0587,0.81
0.657792,0.7038,0.1720,0.0032,0.72
0.674850,0.6669,0.0739,-0.0297,0.67
0.691334,0.6344,0.0318,-0.0605,0.64
0.727262,0.5992,0.0467,-0.0436,0.60
0.743689,0.6671,0.0736,0.0047,0.67
0.758249,0.6798,0.0804,0.0252,0.68
0.774389,0.7076,0.0878,0.0704,0.72
0.806838,0.7575,0.1149,0.0829,0.77
0.838301,0.8198,0.1061,0.0286,0.83
0.838602,0.8198,0.1061,0.0286,0.83
0.857263,0.9034,0.0919,-0.0065,0.91
0.873981,0.9726,0.0809,-0.0111,0.98
0.907593,1.1291,0.1447,0.1451,1.15
0.934931,1.3984,0.2595,0.3592,1.47
0.935449,1.3984,0.2595,0.3592,1.47
0.958769,1.7131,0.3609,0.4470,1.81
0.975743,1.6688,0.3580,0.3765,1.75
1.007889,1.2283,0.1618,-0.0644,1.24
1.027345,0.9070,0.1119,-0.0388,0.91
1.046045,0.9339,0.1337,0.0442,0.94
1.059610,1.0131,0.1442,0.1156,1.03
1.090721,0.9918,0.1017,0.1906,1.02
1.107564,1.0627,0.1032,0.1129,1.07
1.132430,1.1399,0.0860,0.1498,1.15
1.150483,1.1061,0.1170,0.2038,1.13
1.160109,1.0695,0.1347,0.1828,1.09
1.191646,0.9476,0.0569,0.1148,0.96
1.207597,0.9339,0.0066,0.1099,0.94
1.226844,0.8992,-0.0329,0.1104,0.91
1.242915,0.8518,-0.0313,0.1283,0.86
1.272860,0.7192,-0.0003,0.1249,0.73
1.290753,0.6503,0.0201,0.0640,0.65
1.306941,0.5883,0.0408,0.0741,0.59
1.330275,0.6270,0.1002,0.1263,0.65
1.345049,0.6952,0.1232,0.1043,0.71
1.373583,0.8298,0.0961,0.1039,0.84
1.389454,0.8848,0.0450,0.1095,0.89
1.406681,0.8904,-0.0099,0.0716,0.89
1.428311,0.8660,-0.0215,-0.0227,0.87
1.446160,0.8785,-0.0284,-0.0649,0.88
1.472963,0.9718,0.0038,-0.0754,0.97
1.490951,1.0553,0.0467,-0.0033,1.06
1.507031,1.1159,0.0741,0.0997,1.12
1.528490,1.1105,0.2209,0.2623,1.16
1.545510,1.0817,0.2808,0.3660,1.18
1.573174,1.2168,0.5211,0.1793,1.34
1.589372,1.3563,0.5639,0.0240,1.47
1.606409,1.4267,0.4643,-0.2074,1.51
1.630795,1.4841,0.0724,0.0220,1.49
1.650139,1.4638,-0.0607,0.1539,1.47
1.674960,1.3526,-0.0103,0.1994,1.37
