time,gFx,gFy,gFz,TgF
0.003586,0.9337,0.0476,0.0577,0.94
0.028892,0.8426,0.0257,0.0193,0.84
0.042717,0.9034,-0.0040,0.0320,0.90
0.062147,0.9613,-0.0299,0.1034,0.97
0.075951,0.9915,-0.0199,0.1288,1.00
0.109658,1.0174,0.0108,0.1632,1.03
0.125160,1.0218,0.0257,0.1515,1.03
0.141664,1.0029,0.0375,0.1232,1.01
0.161878,0.9813,0.0294,0.0855,0.99
0.175123,0.9745,0.0166,0.0682,0.98
0.208061,0.9950,0.0066,0.0422,1.00
0.226333,0.9880,0.0133,0.0159,0.99
0.241330,0.9906,0.0140,0.0161,0.99
0.273046,0.9894,0.0005,0.0567,0.99
0.275180,0.9894,0.0005,0.0567,0.99
0.307900,1.0456,0.0257,0.1172,1.05
0.324849,1.1017,0.0574,0.1632,1.12
0.344186,1.1203,0.1044,0.1451,1.13
0.361650,1.1811,0.0941,0.0987,1.19
0.376112,1.2102,0.0827,0.0084,1.21
0.408348,1.2691,-0.0255,0.0330,1.27
0.425018,1.4169,-0.0702,0.1539,1.43
0.441615,1.5799,-0.0900,0.3362,1.62
0.463703,1.6127,0.0536,0.5374,1.70
0.491919,1.4057,0.3462,0.6797,1.60
0.508049,1.1831,0.5270,0.6799,1.46
0.524541,1.0104,0.6182,0.5639,1.31
0.546072,0.7849,0.6069,0.3689,1.06
0.573823,0.8238,0.4638,0.1654,0.96
0.591423,0.8184,0.3467,0.0926,0.89
0.607985,0.8403,0.2524,0.0291,0.88
0.625490,0.9137,0.1405,0.0382,0.93
0.640876,0.9708,0.0350,0.1067,0.98
0.670500,1.0204,-0.0157,0.1749,1.04
0.691602,0.8946,0.0716,0.2160,0.92
0.707989,0.8015,0.1652,0.2047,0.84
0.724639,0.7627,0.2579,0.1530,0.82
0.763054,0.7314,0.2625,0.0926,0.78
0.774718,0.7089,0.2363,0.0829,0.75
0.790784,0.7055,0.2187,0.0726,0.74
0.807683,0.6847,0.2067,0.0618,0.72
0.824395,0.6928,0.1784,0.0564,0.72
0.864647,0.7355,0.1496,0.0652,0.75
0.874779,0.7133,0.1547,0.0672,0.73
0.890544,0.7204,0.1684,0.0689,0.74
0.907351,0.7455,0.1969,0.0801,0.78
0.925522,0.7595,0.2681,0.0880,0.81
0.966546,0.8489,0.4054,0.1095,0.95
0.974430,0.8726,0.4147,0.1080,0.97
0.989776,0.9540,0.4183,0.1139,1.05
1.006947,1.0961,0.4049,0.1029,1.17
1.040157,1.0754,0.2945,0.1964,1.13
1.060653,1.1108,0.2910,0.2595,1.18
1.073393,1.3812,0.3179,0.2071,1.43
1.089742,1.4247,0.4007,0.2870,1.51
1.106976,1.3432,0.5229,0.3317,1.48
1.141181,1.0798,0.6870,0.3366,1.32
1.157042,0.9556,0.5917,0.3422,1.17
1.178751,0.8056,0.4552,0.3277,0.98
1.190630,0.7526,0.3837,0.3750,0.92
1.223851,0.6977,0.1720,0.5553,0.91
1.240913,0.7190,0.1777,0.5126,0.90
1.256520,0.7558,0.2175,0.4390,0.90
1.285434,0.8303,0.2400,0.3660,0.94
1.296712,0.8618,0.2409,0.3511,0.96
1.323546,0.8887,0.2332,0.3452,0.98
1.340735,0.8802,0.2253,0.3282,0.97
1.357423,0.8636,0.2126,0.2886,0.94
1.380833,0.8480,0.2038,0.2595,0.91
1.393162,0.8266,0.1924,0.2578,0.89
1.423766,0.7593,0.1545,0.2411,0.81
1.439828,0.7541,0.1284,0.2531,0.81
1.457224,0.7814,0.1176,0.2770,0.84
1.480880,0.8450,0.1212,0.3135,0.91
1.495824,0.8816,0.1212,0.3196,0.95
1.522468,0.8834,0.1405,0.2930,0.94
1.541777,0.8816,0.1469,0.2658,0.93
1.559112,0.8750,0.1288,0.2527,0.92
1.578711,0.9037,0.0975,0.2434,0.94
1.606033,0.9918,0.0594,0.2511,1.02
1.622073,1.0800,0.0377,0.2621,1.11
1.640516,1.1222,-0.0167,0.2201,1.14
1.655638,1.0585,-0.0683,0.2287,1.09
1.676039,1.0087,-0.0919,0.2392,1.04
1.705602,1.0817,0.0724,0.2621,1.12
1.721794,1.1066,0.1877,0.3254,1.17
1.739659,1.2525,0.3357,0.3657,1.35
1.760456,1.2525,0.4005,0.4652,1.39
1.788833,1.3937,0.5332,0.6193,1.62
1.806706,1.2268,0.6558,0.7669,1.59
1.822759,1.0614,0.6441,0.7332,1.44
1.839837,0.9405,0.5146,0.5795,1.22
1.864873,0.7988,0.3274,0.2839,0.91
1.878876,0.7670,0.2512,0.1940,0.83
1.905240,0.7976,0.1774,0.1163,0.83
