time,gFx,gFy,gFz,TgF
0.011756,0.1397,-0.1281,-0.9817,1.00
0.030189,0.1429,-0.1279,-0.9805,1.00
0.054450,0.1411,-0.1284,-0.9805,1.00
0.071773,0.1394,-0.1284,-0.9810,1.00
0.088910,0.1416,-0.1284,-0.9810,1.00
0.119116,0.1448,-0.1305,-0.9798,1.00
0.138703,0.1448,-0.1298,-0.9800,1.00
0.154641,0.1480,-0.1303,-0.9808,1.00
0.171030,0.1502,-0.1286,-0.9817,1.00
0.188763,0.1478,-0.1298,-0.9815,1.00
0.213231,0.1519,-0.1357,-0.9796,1.00
0.238422,0.1534,-0.1333,-0.9732,0.99
0.254215,0.1558,-0.1277,-0.9740,0.99
0.271407,0.1590,-0.1252,-0.9781,1.00
0.288069,0.1616,-0.1261,-0.9825,1.00
0.315125,0.1597,-0.1296,-0.9719,0.99
0.338092,0.1521,-0.1335,-0.9781,1.00
0.354782,0.1495,-0.1345,-0.9803,1.00
0.370783,0.1504,-0.1373,-0.9812,1.00
0.387951,0.1544,-0.1345,-0.9800,1.00
0.410805,0.1572,-0.1298,-0.9776,1.00
0.438590,0.1621,-0.1324,-0.9771,1.00
0.454354,0.1639,-0.1345,-0.9749,1.00
0.477123,0.1646,-0.1330,-0.9740,1.00
0.518195,0.1634,-0.1315,-0.9754,1.00
0.518824,0.1644,-0.1333,-0.9764,1.00
0.537655,0.1636,-0.1347,-0.9791,1.00
0.555074,0.1639,-0.1330,-0.9756,1.00
0.571389,0.1653,-0.1305,-0.9747,1.00
0.607174,0.1624,-0.1317,-0.9768,1.00
0.621013,0.1634,-0.1352,-0.9788,1.00
0.637194,0.1616,-0.1347,-0.9781,1.00
0.653405,0.1629,-0.1335,-0.9759,1.00
0.694791,0.1681,-0.1342,-0.9747,1.00
0.695526,0.1676,-0.1349,-0.9747,1.00
0.726349,0.1673,-0.1357,-0.9742,1.00
0.737179,0.1678,-0.1357,-0.9747,1.00
0.771268,0.1668,-0.1330,-0.9740,1.00
0.788332,0.1683,-0.1345,-0.9744,1.00
0.814226,0.1663,-0.1345,-0.9764,1.00
0.820478,0.1663,-0.1340,-0.9737,1.00
0.836994,0.1646,-0.1300,-0.9754,1.00
0.871514,0.1621,-0.1315,-0.9786,1.00
0.887008,0.1629,-0.1337,-0.9773,1.00
0.912502,0.1624,-0.1342,-0.9742,1.00
0.920127,0.1621,-0.1335,-0.9752,1.00
0.937834,0.1641,-0.1347,-0.9768,1.00
0.971047,0.1612,-0.1373,-0.9752,1.00
0.986339,0.1658,-0.1364,-0.9759,1.00
1.012660,0.1656,-0.1268,-0.9793,1.00
1.020156,0.1656,-0.1284,-0.9791,1.00
1.053635,0.1719,-0.1303,-0.9728,1.00
1.070453,0.1663,-0.1333,-0.9722,1.00
1.086285,0.1604,-0.1340,-0.9747,1.00
1.110053,0.1539,-0.1381,-0.9805,1.00
1.120195,0.1529,-0.1340,-0.9803,1.00
1.153620,0.1565,-0.1317,-0.9773,1.00
1.169730,0.1588,-0.1322,-0.9773,1.00
1.185758,0.1607,-0.1317,-0.9773,1.00
1.206859,0.1614,-0.1310,-0.9771,1.00
1.236500,0.1590,-0.1310,-0.9768,1.00
1.252697,0.1578,-0.1310,-0.9761,1.00
1.270613,0.1578,-0.1317,-0.9747,1.00
1.285754,0.1583,-0.1308,-0.9764,1.00
1.305431,0.1575,-0.1312,-0.9791,1.00
1.335276,0.1555,-0.1291,-0.9786,1.00
1.352533,0.1504,-0.1293,-0.9803,1.00
1.370620,0.1474,-0.1312,-0.9800,1.00
1.386474,0.1483,-0.1337,-0.9810,1.00
1.409278,0.1509,-0.1286,-0.9781,1.00
1.435878,0.1526,-0.1293,-0.9773,1.00
1.452233,0.1541,-0.1312,-0.9788,1.00
1.469501,0.1548,-0.1324,-0.9773,1.00
1.486606,0.1514,-0.1310,-0.9803,1.00
1.527618,0.1497,-0.1286,-0.9803,1.00
1.528163,0.1497,-0.1286,-0.9803,1.00
1.552930,0.1490,-0.1300,-0.9796,1.00
1.569236,0.1460,-0.1271,-0.9800,1.00
1.602498,0.1411,-0.1286,-0.9817,1.00
1.627001,0.1392,-0.1293,-0.9812,1.00
1.648904,0.1411,-0.1281,-0.9805,1.00
1.651906,0.1406,-0.1281,-0.9810,1.00
1.669852,0.1409,-0.1281,-0.9825,1.00
1.702384,0.1387,-0.1273,-0.9852,1.00
1.721598,0.1367,-0.1273,-0.9820,1.00
1.735525,0.1378,-0.1284,-0.9825,1.00
1.752147,0.1367,-0.1298,-0.9837,1.00
1.785770,0.1362,-0.1271,-0.9788,1.00
1.802313,0.1365,-0.1247,-0.9833,1.00
1.822735,0.1385,-0.1271,-0.9866,1.00
1.835268,0.1414,-0.1261,-0.9800,1.00
1.867792,0.1360,-0.1244,-0.9747,0.99
1.885567,0.1294,-0.1268,-0.9800,1.00
1.902216,0.1253,-0.1300,-0.9852,1.00
1.923632,0.1220,-0.1300,-0.9884,1.00
1.935086,0.1213,-0.1296,-0.9871,1.00
1.968820,0.1255,-0.1249,-0.9820,1.00
1.986624,0.1269,-0.1273,-0.9822,1.00
2.007976,0.1248,-0.1273,-0.9805,1.00
2.019494,0.1275,-0.1281,-0.9833,1.00
2.034563,0.1267,-0.1281,-0.9840,1.00
2.068260,0.1231,-0.1256,-0.9840,1.00
2.084804,0.1220,-0.1259,-0.9859,1.00
2.104752,0.1226,-0.1242,-0.9845,1.00
2.118352,0.1253,-0.1244,-0.9854,1.00
2.152355,0.1197,-0.1237,-0.9837,1.00
2.168605,0.1192,-0.1244,-0.9847,1.00
2.184360,0.1162,-0.1273,-0.9825,1.00
2.204844,0.1185,-0.1254,-0.9837,1.00
2.218155,0.1194,-0.1284,-0.9840,1.00
2.252235,0.1213,-0.1273,-0.9837,1.00
2.268649,0.1187,-0.1254,-0.9835,1.00
2.283722,0.1192,-0.1277,-0.9857,1.00
2.310030,0.1199,-0.1266,-0.9840,1.00
2.333638,0.1172,-0.1247,-0.9842,1.00
2.350820,0.1192,-0.1252,-0.9847,1.00
2.367416,0.1197,-0.1232,-0.9874,1.00
2.383878,0.1199,-0.1244,-0.9879,1.00
2.406999,0.1172,-0.1256,-0.9859,1.00
2.433844,0.1182,-0.1273,-0.9852,1.00
2.453178,0.1218,-0.1273,-0.9849,1.00
2.468182,0.1245,-0.1268,-0.9847,1.00
2.484785,0.1267,-0.1281,-0.9842,1.00
2.501840,0.1262,-0.1261,-0.9833,1.00
2.527223,0.1250,-0.1249,-0.9852,1.00
2.549632,0.1262,-0.1261,-0.9859,1.00
2.567085,0.1301,-0.1268,-0.9817,1.00
2.584581,0.1309,-0.1296,-0.9817,1.00
2.622189,0.1313,-0.1266,-0.9808,1.00
2.632927,0.1341,-0.1256,-0.9812,1.00
2.649998,0.1362,-0.1247,-0.9857,1.00
2.667519,0.1411,-0.1237,-0.9825,1.00
2.684180,0.1434,-0.1223,-0.9747,0.99
2.723914,0.1324,-0.1305,-0.9822,1.00
2.733817,0.1318,-0.1335,-0.9830,1.00
2.749536,0.1318,-0.1330,-0.9859,1.00
2.767796,0.1362,-0.1324,-0.9837,1.00
2.800210,0.1421,-0.1271,-0.9800,1.00
2.827723,0.1460,-0.1298,-0.9800,1.00
2.828457,0.1460,-0.1298,-0.9800,1.00
2.849514,0.1472,-0.1296,-0.9808,1.00
2.866740,0.1463,-0.1277,-0.9781,1.00
2.899520,0.1465,-0.1317,-0.9791,1.00
2.921573,0.1472,-0.1312,-0.9805,1.00
2.933044,0.1485,-0.1300,-0.9798,1.00
2.949180,0.1492,-0.1273,-0.9808,1.00
2.982638,0.1492,-0.1273,-0.9800,1.00
3.000330,0.1485,-0.1310,-0.9803,1.00
3.020231,0.1478,-0.1312,-0.9808,1.00
3.032592,0.1507,-0.1324,-0.9800,1.00
3.049633,0.1516,-0.1328,-0.9779,1.00
3.082437,0.1575,-0.1308,-0.9776,1.00
3.100206,0.1575,-0.1345,-0.9781,1.00
3.127644,0.1578,-0.1333,-0.9776,1.00
3.136716,0.1567,-0.1320,-0.9768,1.00
3.149684,0.1597,-0.1286,-0.9808,1.00
3.182687,0.1644,-0.1320,-0.9744,1.00
