time,gFx,gFy,gFz,TgF
0.022117,0.9493,-0.0013,-0.3267,1.00
0.029851,0.9503,-0.0015,-0.3248,1.00
0.044051,0.9488,-0.0023,-0.3227,1.00
0.061194,0.9498,0.0003,-0.3227,1.00
0.092825,0.9466,-0.0015,-0.3263,1.00
0.112268,0.9473,0.0010,-0.3221,1.00
0.126332,0.9488,0.0008,-0.3202,1.00
0.142650,0.9466,-0.0008,-0.3223,1.00
0.159309,0.9471,-0.0006,-0.3258,1.00
0.192155,0.9488,0.0001,-0.3231,1.00
0.212270,0.9500,0.0035,-0.3165,1.00
0.226744,0.9515,0.0054,-0.3206,1.00
0.242318,0.9473,0.0038,-0.3239,1.00
0.259027,0.9454,0.0013,-0.3276,1.00
0.292740,0.9435,-0.0047,-0.3299,1.00
0.311619,0.9484,-0.0013,-0.3283,1.00
0.325806,0.9496,-0.0003,-0.3246,1.00
0.343170,0.9498,0.0008,-0.3231,1.00
0.360107,0.9486,-0.0001,-0.3216,1.00
0.388018,0.9508,0.0005,-0.3236,1.00
0.412126,0.9461,0.0008,-0.3258,1.00
0.428251,0.9508,0.0015,-0.3221,1.00
0.443093,0.9503,0.0026,-0.3223,1.00
0.476517,0.9484,0.0033,-0.3218,1.00
0.492830,0.9476,0.0020,-0.3209,1.00
0.522013,0.9464,0.0010,-0.3246,1.00
0.525843,0.9471,0.0010,-0.3265,1.00
0.543550,0.9496,0.0001,-0.3234,1.00
0.575399,0.9491,0.0001,-0.3263,1.00
0.593010,0.9459,-0.0006,-0.3234,1.00
0.612427,0.9479,-0.0003,-0.3246,1.00
0.625801,0.9464,0.0005,-0.3229,1.00
0.658606,0.9500,0.0005,-0.3206,1.00
0.675230,0.9528,0.0020,-0.3185,1.00
0.692344,0.9496,0.0005,-0.3195,1.00
0.723618,0.9468,0.0001,-0.3229,1.00
0.726165,0.9468,0.0020,-0.3227,1.00
0.758559,0.9503,-0.0003,-0.3221,1.00
0.774998,0.9496,-0.0006,-0.3214,1.00
0.792100,0.9454,-0.0001,-0.3251,1.00
0.813251,0.9484,0.0017,-0.3280,1.00
0.826684,0.9491,0.0030,-0.3280,1.00
0.858915,0.9515,0.0028,-0.3211,1.00
0.875285,0.9496,0.0035,-0.3229,1.00
0.893065,0.9461,0.0020,-0.3292,1.00
0.914229,0.9419,-0.0018,-0.3323,1.00
0.941953,0.9428,-0.0045,-0.3316,1.00
0.958628,0.9464,-0.0006,-0.3276,1.00
