time,gFx,gFy,gFz,TgF
0.016083,0.9867,-0.0399,0.1845,1.00
0.019650,0.9862,-0.0385,0.1838,1.00
0.036319,0.9943,-0.0416,0.1845,1.01
0.052032,0.9945,-0.0406,0.1828,1.01
0.086686,0.9840,-0.0343,0.1791,1.00
0.102984,0.9862,-0.0348,0.1761,1.00
0.120733,0.9857,-0.0362,0.1781,1.00
0.134934,0.9864,-0.0369,0.1803,1.00
0.152945,0.9845,-0.0406,0.1871,1.00
0.185017,0.9825,-0.0345,0.1850,1.00
0.202126,0.9901,-0.0357,0.1840,1.01
0.228845,0.9855,-0.0333,0.1810,1.00
0.234660,0.9857,-0.0333,0.1796,1.00
0.268347,0.9882,-0.0443,0.1810,1.01
0.285656,0.9923,-0.0426,0.1810,1.01
0.302006,0.9896,-0.0385,0.1830,1.01
0.320238,0.9855,-0.0369,0.1835,1.00
0.336259,0.9810,-0.0382,0.1754,1.00
0.368874,0.9859,-0.0382,0.1766,1.00
0.385669,0.9874,-0.0387,0.1830,1.00
0.409585,0.9884,-0.0355,0.1820,1.01
0.422921,0.9835,-0.0355,0.1817,1.00
0.451253,0.9838,-0.0326,0.1845,1.00
0.468207,0.9952,-0.0367,0.1861,1.01
0.485576,0.9882,-0.0367,0.1896,1.01
0.501079,0.9918,-0.0372,0.1901,1.01
0.523157,0.9882,-0.0382,0.1866,1.01
0.552504,0.9794,-0.0331,0.1786,1.00
0.568630,0.9818,-0.0372,0.1796,1.00
0.586125,0.9838,-0.0389,0.1808,1.00
0.601589,0.9867,-0.0360,0.1835,1.00
0.619916,0.9899,-0.0377,0.1850,1.01
0.654990,0.9769,-0.0362,0.1850,0.99
0.667511,0.9764,-0.0404,0.1842,0.99
0.685087,0.9887,-0.0389,0.1882,1.01
0.702643,0.9984,-0.0389,0.1920,1.02
0.721729,0.9955,-0.0382,0.1882,1.01
0.751328,0.9784,-0.0411,0.1813,1.00
0.767812,0.9757,-0.0434,0.1803,0.99
0.787439,0.9791,-0.0413,0.1820,1.00
0.801426,0.9901,-0.0369,0.1817,1.01
0.826015,0.9877,-0.0313,0.1850,1.01
0.851130,0.9862,-0.0401,0.1857,1.00
0.868364,0.9850,-0.0426,0.1903,1.00
0.884569,0.9880,-0.0406,0.1898,1.01
0.904798,0.9908,-0.0380,0.1908,1.01
0.933562,0.9887,-0.0375,0.1854,1.01
0.951469,0.9838,-0.0369,0.1833,1.00
0.968117,0.9799,-0.0365,0.1833,1.00
0.984367,0.9813,-0.0372,0.1859,1.00
1.021514,0.9838,-0.0399,0.1866,1.00
1.033896,0.9833,-0.0369,0.1882,1.00
1.051432,0.9806,-0.0338,0.1864,1.00
1.069197,0.9831,-0.0343,0.1891,1.00
1.085901,0.9840,-0.0369,0.1879,1.00
1.121282,0.9901,-0.0360,0.1922,1.01
1.133772,0.9889,-0.0338,0.1938,1.01
1.151327,0.9818,-0.0306,0.1910,1.00
1.168293,0.9871,-0.0357,0.1945,1.01
1.204414,0.9754,-0.0389,0.1864,0.99
1.217057,0.9730,-0.0389,0.1886,0.99
1.234958,0.9847,-0.0406,0.1982,1.01
1.250688,1.0123,-0.0411,0.2038,1.03
1.270294,0.9759,-0.0348,0.1957,1.00
1.301400,0.9887,-0.0382,0.1901,1.01
1.327551,0.9831,-0.0375,0.1920,1.00
1.333568,0.9818,-0.0380,0.1931,1.00
1.350889,0.9877,-0.0385,0.1933,1.01
1.383553,0.9864,-0.0401,0.1852,1.00
1.401295,0.9887,-0.0429,0.1877,1.01
1.421258,0.9857,-0.0421,0.1922,1.01
1.433577,0.9820,-0.0394,0.1938,1.00
1.450088,0.9843,-0.0372,0.1950,1.00
1.484147,0.9843,-0.0353,0.1931,1.00
1.502974,0.9867,-0.0357,0.1950,1.01
1.522702,0.9828,-0.0375,0.1933,1.00
1.533747,0.9828,-0.0375,0.1942,1.00
1.566758,0.9891,-0.0375,0.1938,1.01
1.583399,0.9891,-0.0377,0.1940,1.01
1.600296,0.9855,-0.0360,0.1918,1.00
1.625015,0.9808,-0.0387,0.1910,1.00
1.633602,0.9801,-0.0380,0.1901,1.00
1.667097,0.9815,-0.0385,0.1903,1.00
1.684697,0.9838,-0.0375,0.1915,1.00
1.701337,0.9869,-0.0369,0.1938,1.01
1.722928,0.9867,-0.0350,0.2003,1.01
1.733277,0.9857,-0.0326,0.1971,1.01
1.767567,0.9838,-0.0345,0.1952,1.00
1.784259,0.9859,-0.0375,0.1947,1.01
1.801184,0.9877,-0.0385,0.1931,1.01
1.828092,0.9855,-0.0377,0.1933,1.00
1.836756,0.9828,-0.0357,0.1928,1.00
1.865583,0.9825,-0.0343,0.1931,1.00
1.884173,0.9855,-0.0318,0.1974,1.01
1.899684,0.9840,-0.0333,0.2001,1.00
1.925271,0.9847,-0.0345,0.1994,1.01
1.949262,0.9869,-0.0357,0.1945,1.01
