time,gFx,gFy,gFz,TgF
0.010858,1.0216,0.2207,0.0745,1.05
0.028844,1.0346,0.2114,0.0843,1.06
0.050337,1.0280,0.2078,0.0809,1.05
0.075182,0.9877,0.1948,0.1009,1.01
0.093970,0.9623,0.0975,0.1412,0.98
0.109766,0.9525,-0.0416,0.2047,0.98
0.126725,0.9183,-0.1713,0.2020,0.96
0.155885,0.9613,-0.1587,0.1268,0.98
0.179595,1.0488,0.0128,0.0540,1.05
0.191045,1.0849,0.1056,0.0418,1.09
0.208507,1.1140,0.1482,0.0491,1.12
0.250308,1.0109,-0.0485,0.0792,1.02
0.250826,1.0018,-0.0597,0.0762,1.01
0.274599,0.9202,-0.1061,0.0571,0.93
0.291471,0.9139,-0.0756,0.0401,0.92
0.309107,0.9422,-0.0409,0.0271,0.94
0.347748,0.9464,-0.0133,0.0203,0.95
0.358489,0.9447,-0.0367,0.0233,0.95
0.374259,0.9342,-0.0741,-0.0018,0.94
0.391527,1.0336,-0.1748,-0.0292,1.05
0.409594,1.3143,-0.2155,0.0482,1.33
0.444833,0.9351,-0.0413,-0.0197,0.94
0.459015,0.8923,-0.0077,-0.0446,0.89
0.474516,0.9051,-0.0299,-0.0111,0.91
0.491630,0.9520,-0.0739,0.0132,0.95
0.532804,1.0057,-0.0485,0.0320,1.01
0.556146,1.0169,-0.0623,0.0760,1.02
0.557369,1.0236,-0.0690,0.0818,1.03
0.573525,1.0739,-0.0760,0.1009,1.08
0.590498,1.0884,-0.0087,0.0440,1.09
0.624828,1.0490,0.1982,-0.0722,1.07
0.657710,1.0583,0.1228,-0.1438,1.08
0.658373,1.0583,0.1228,-0.1438,1.08
0.677018,1.1420,-0.0639,-0.1177,1.15
0.691485,1.2139,-0.2058,-0.1208,1.24
0.724934,1.3262,-0.3331,0.1796,1.38
0.740657,1.2904,-0.1962,0.3132,1.34
0.762366,1.1052,0.1005,0.3762,1.17
0.774120,0.9867,0.2050,0.4283,1.10
0.807352,0.8117,0.1442,0.3804,0.91
0.824317,0.8471,-0.0028,0.2573,0.89
0.842324,0.9669,-0.1083,0.1830,0.99
0.860310,1.0617,-0.1168,0.1434,1.08
0.873857,1.0742,-0.0377,0.1554,1.09
0.907237,1.0087,0.1298,0.1365,1.03
0.924100,0.9508,0.1007,0.1256,0.96
0.939978,0.9056,0.0443,0.1444,0.92
0.962508,0.9093,-0.0421,0.1195,0.92
0.991426,0.9046,-0.0094,0.0865,0.91
1.007393,0.9263,0.0474,0.0869,0.93
1.023733,0.8767,0.1396,0.0816,0.89
1.040824,0.8423,0.1885,0.0582,0.87
1.060589,0.8335,0.1982,0.0623,0.86
1.089759,0.8238,0.1286,0.0552,0.84
1.106288,0.8406,0.0834,0.0462,0.85
1.123354,0.8645,0.0623,0.0293,0.87
1.140668,0.8797,0.0697,0.0105,0.88
1.158964,0.8956,0.0872,0.0071,0.90
1.192492,0.9488,0.0888,-0.0197,0.95
1.206515,0.9710,0.0778,-0.0004,0.97
1.223621,1.0370,0.1300,0.0748,1.05
1.240902,0.9801,0.2365,0.0464,1.01
1.273527,0.9730,0.0736,0.1141,0.98
1.290098,1.0976,-0.0077,0.0093,1.10
1.306793,1.1716,-0.0469,-0.1371,1.18
1.323602,1.2557,-0.1479,-0.2747,1.29
1.348497,1.3832,-0.2684,-0.0218,1.41
1.373010,1.5520,0.1078,0.2646,1.58
1.389707,1.2892,0.3416,0.6422,1.48
1.405358,1.3593,0.5107,0.6108,1.58
1.423295,1.0952,0.5307,0.4076,1.28
1.444916,0.9335,0.0569,0.3943,1.01
1.472867,0.7979,-0.1230,0.2756,0.85
1.490011,0.7734,0.0015,0.1840,0.79
1.506753,0.8711,0.1755,0.2160,0.91
1.523899,0.9300,0.3106,0.2824,1.02
1.544673,0.9398,0.3089,0.3308,1.04
1.572488,0.8990,0.0587,0.2499,0.93
1.589592,0.8606,-0.0069,0.2143,0.89
1.606531,0.8418,0.0164,0.1879,0.86
1.643563,0.8313,0.1203,0.1503,0.85
1.656319,0.8394,0.1112,0.1337,0.86
1.672256,0.8902,0.0578,0.1216,0.90
1.689198,0.9432,-0.0075,0.0872,0.95
1.705745,0.9593,-0.0621,0.0454,0.96
1.743361,0.9246,-0.1042,-0.0216,0.93
1.755590,0.9065,-0.0809,-0.0206,0.91
1.771898,0.8970,-0.0329,-0.0146,0.90
1.788677,0.9075,0.0154,0.0035,0.91
1.806213,0.9274,0.0289,0.0181,0.93
1.850141,0.9447,-0.0367,-0.0516,0.95
1.850496,0.9447,-0.0367,-0.0516,0.95
1.875265,0.8892,-0.1554,-0.0218,0.90
1.888903,0.9393,-0.1811,0.0357,0.96
1.921563,0.9464,-0.0753,0.0354,0.95
1.938687,0.9782,-0.1503,0.0564,0.99
1.965064,1.2081,0.0569,0.0142,1.21
1.972249,1.2652,0.1513,0.0315,1.27
2.005840,1.2596,0.4032,0.0550,1.32
2.022622,1.3976,0.0823,0.2274,1.42
2.038270,1.4382,-0.1862,0.2245,1.47
2.059810,1.4079,-0.3035,0.5397,1.54
2.072184,1.3041,-0.1878,0.6249,1.46
2.105261,0.8396,0.2947,0.5067,1.02
2.121543,0.6996,0.3416,0.3352,0.85
2.137619,0.7705,0.1794,0.2192,0.82
2.158142,0.9852,-0.0623,0.1517,1.00
2.188068,1.1252,-0.1510,0.0980,1.14
2.205589,1.1404,-0.1063,0.1793,1.16
2.221844,1.0839,-0.0145,0.1661,1.10
2.237591,0.9617,0.0436,0.1575,0.98
2.260893,0.8110,0.0572,0.1474,0.83
2.280664,0.7597,0.0474,0.0997,0.77
2.305253,0.7971,0.0492,0.0469,0.80
2.321827,0.8487,0.0699,0.0401,0.85
2.338634,0.8420,0.1440,0.0664,0.86
2.356876,0.8149,0.2055,0.0620,0.84
2.388637,0.7717,0.1440,0.0310,0.79
2.404654,0.7742,0.0800,0.0107,0.78
2.423081,0.8068,0.0222,-0.0031,0.81
2.437364,0.8420,0.0089,-0.0109,0.84
2.457207,0.9083,0.0042,-0.0116,0.91
2.488154,0.9386,-0.0033,0.0100,0.94
2.503658,0.9964,0.0382,0.0711,1.00
2.523317,0.9989,0.1631,0.0256,1.01
2.537966,0.9623,0.1864,0.0484,0.98
2.573556,1.2989,-0.0066,0.0135,1.30
2.587613,1.2535,0.0164,-0.1699,1.27
2.603319,1.2796,-0.0413,-0.1343,1.29
2.620550,1.4829,-0.2514,0.0574,1.51
2.639488,1.8078,-0.1240,0.1908,1.82
2.670141,1.1089,0.4303,0.1987,1.21
2.688277,1.0383,0.4405,0.1603,1.14
2.704112,0.9158,0.2517,0.1908,0.97
2.720318,0.8291,0.0716,0.1823,0.85
2.744651,0.8885,-0.1528,0.2917,0.95
2.771001,1.0162,-0.1452,0.3261,1.08
2.788245,1.0514,-0.0054,0.3457,1.11
2.805025,1.0900,0.1696,0.3310,1.15
2.820294,1.0661,0.2749,0.2856,1.14
2.843297,0.8469,0.1713,0.1913,0.89
2.869435,0.7570,0.0631,0.1376,0.77
2.886552,0.8303,-0.0015,0.1466,0.84
2.903465,0.8252,-0.0115,0.1505,0.84
2.940322,0.7881,0.0284,0.1249,0.80
2.952702,0.8015,0.0259,0.1302,0.81
2.969561,0.8616,-0.0010,0.1092,0.87
2.987382,0.8972,-0.0287,0.0589,0.90
3.003292,0.9430,-0.0607,0.0047,0.94
3.037469,0.9461,-0.1139,-0.0451,0.95
3.057648,0.8985,-0.0998,-0.0260,0.90
3.073645,0.8985,-0.0607,-0.0182,0.90
3.086796,0.9330,-0.0345,-0.0216,0.93
3.103661,0.9859,-0.0077,-0.0336,0.99
3.136234,0.9561,-0.0375,-0.0900,0.96
3.156820,0.9677,-0.1584,0.0171,0.98
3.169938,1.0248,-0.1760,0.0284,1.04
3.185701,1.0041,-0.2078,0.0119,1.03
3.219190,1.0683,-0.1166,-0.0326,1.08
3.235998,1.2459,0.1733,-0.0898,1.26
3.256131,1.2796,0.4506,0.0023,1.36
3.270062,1.2784,0.5244,-0.0062,1.38
3.285717,1.2146,0.3145,-0.0416,1.26
3.319445,1.2698,-0.5434,0.3184,1.42
3.338065,1.1557,-0.5027,0.5749,1.39
3.355188,1.0817,-0.0541,0.4379,1.17
3.371991,1.0265,0.3897,0.3474,1.15
3.385594,1.2542,0.4518,0.4041,1.39
3.418559,0.9508,0.2300,0.1622,0.99
3.435091,1.1105,-0.0585,0.1414,1.12
3.458348,1.1555,-0.2817,0.0970,1.19
3.471953,1.1266,-0.2720,0.1076,1.16
3.502340,0.9200,-0.0385,0.0660,0.92
3.518872,0.8252,0.1032,0.1041,0.84
3.535347,0.7089,0.1833,0.0491,0.73
3.557615,0.6554,0.1769,0.0142,0.68
3.570017,0.6994,0.1174,0.0088,0.71
3.602355,0.7849,0.0194,0.0522,0.79
3.619612,0.7940,0.0643,0.0403,0.80
3.636333,0.7739,0.1359,0.0198,0.79
3.662442,0.7861,0.1691,-0.0190,0.80
3.669615,0.8008,0.1666,-0.0229,0.82
3.692842,0.8899,0.1371,-0.0397,0.90
3.718117,0.9083,0.0721,-0.0602,0.91
3.735621,0.9195,0.0367,0.0010,0.92
3.751439,0.9661,0.0473,0.0014,0.97
3.772320,0.9962,0.1034,0.0328,1.00
3.801133,1.0756,0.0983,0.1283,1.09
3.823378,1.2468,0.1430,-0.0637,1.26
3.835554,1.2892,0.1589,-0.2354,1.32
3.874060,1.2473,-0.2822,-0.0732,1.28
3.874761,1.2473,-0.2822,-0.0732,1.28
3.902390,1.5715,0.0140,0.3124,1.60
3.919464,1.2361,0.4024,0.5367,1.41
3.934144,1.3101,0.6135,0.4869,1.53
3.953918,1.1440,0.5446,0.3589,1.32
3.984601,1.0190,-0.2437,0.3799,1.11
4.003052,0.9281,-0.3148,0.2035,1.00
4.020033,0.8606,-0.1386,0.1332,0.88
4.036640,0.8711,0.1347,0.1886,0.90
4.078084,0.9955,0.2922,0.3228,1.09
4.078609,0.9989,0.2666,0.3124,1.08
4.100707,0.9813,0.0529,0.2253,1.01
4.117441,0.8923,-0.0301,0.1566,0.91
4.152124,0.7020,0.0028,0.0987,0.71
4.174519,0.7565,0.0220,0.0926,0.76
4.187058,0.8037,0.0252,0.0782,0.81
4.201771,0.8467,0.0128,0.0711,0.85
4.217646,0.8755,-0.0243,0.0726,0.88
4.256792,0.9097,-0.1086,0.0026,0.92
4.277583,0.9188,-0.0944,-0.0141,0.92
4.283791,0.9237,-0.0856,-0.0162,0.93
4.302468,0.9554,-0.0560,-0.0248,0.96
4.317585,0.9706,-0.0138,-0.0419,0.97
4.350677,0.9547,0.0396,-0.0590,0.96
4.377036,0.9317,-0.0059,-0.0490,0.93
4.391481,0.9428,-0.0375,0.0095,0.94
4.400141,0.9571,-0.0323,0.0401,0.96
4.433392,0.9708,-0.0672,0.0205,0.97
4.451437,1.0519,-0.1687,-0.0429,1.07
