time,gFx,gFy,gFz,TgF
0.008035,0.9794,-0.0448,0.0729,0.98
0.030196,1.0067,-0.1161,0.0552,1.01
0.057398,1.0336,-0.1376,0.0718,1.05
0.071450,1.0495,-0.0858,0.0748,1.06
0.088808,1.0378,-0.0096,0.0564,1.04
0.104509,1.0439,0.0497,0.0491,1.05
0.137817,1.0534,0.1284,0.0301,1.06
0.160419,1.0185,0.0590,0.0506,1.02
0.170928,1.0094,0.0126,0.0613,1.01
0.188067,1.0153,-0.0583,0.0580,1.02
0.205861,1.0160,-0.0868,0.0398,1.02
0.238875,0.9645,-0.0607,0.0217,0.97
0.268074,0.9617,-0.0211,0.0333,0.96
0.268694,0.9617,-0.0211,0.0333,0.96
0.288368,0.9784,0.0069,0.0259,0.98
0.321064,0.9799,-0.0404,0.0289,0.98
0.337792,0.9654,-0.0467,0.0259,0.97
0.356637,0.9740,-0.0385,0.0289,0.98
0.370994,0.9915,-0.0159,0.0308,0.99
0.387942,1.0111,0.0164,0.0369,1.01
0.422430,0.9906,0.0215,0.0950,1.00
0.436970,0.9281,-0.0003,0.1219,0.94
0.457479,0.8420,-0.0228,0.1603,0.86
0.471065,0.8142,-0.0077,0.1444,0.83
0.503199,0.8101,0.0174,0.0540,0.81
0.522260,0.7436,-0.0213,-0.0556,0.75
0.538497,0.7018,-0.0748,-0.1799,0.73
0.557541,0.6975,-0.1638,-0.3072,0.78
0.572686,0.7478,-0.2321,-0.3407,0.85
0.603603,0.9139,-0.2202,-0.1927,0.96
0.620934,0.9972,-0.1037,-0.1245,1.01
0.637406,1.0113,-0.0365,-0.1003,1.02
0.657533,0.9232,-0.0462,-0.1382,0.93
0.670664,0.8660,-0.0578,-0.1711,0.88
0.702856,1.0839,-0.0702,-0.3449,1.14
0.720789,1.2144,-0.0446,-0.4238,1.29
0.737059,0.9815,-0.1354,-0.1513,1.00
0.758129,0.9419,0.0438,0.4532,1.05
0.786180,1.1758,0.7100,0.5644,1.48
0.804000,1.1115,0.8160,0.4857,1.46
0.820943,1.1809,0.6075,0.1959,1.34
0.839213,1.4765,0.3553,-0.1953,1.53
0.860830,1.7553,-0.1305,-0.3805,1.80
0.886480,1.8007,-0.2442,0.0415,1.82
0.904597,1.6255,-0.0329,0.0829,1.63
0.919059,1.3807,0.1674,0.0462,1.39
0.936580,1.0101,0.3372,0.0122,1.06
0.972989,0.6798,0.2273,-0.1213,0.73
0.986849,0.6977,0.0988,-0.1169,0.71
1.003061,0.7165,-0.0399,-0.0693,0.72
1.018985,0.7199,-0.0861,-0.0155,0.73
1.038320,0.7187,-0.0313,0.0618,0.72
1.073141,0.6936,0.2419,0.1239,0.74
1.086257,0.7178,0.3277,0.1200,0.80
1.103456,0.7922,0.3541,0.1092,0.87
1.120496,0.8338,0.3013,0.1312,0.90
1.160331,0.7278,0.1523,0.1127,0.75
1.161711,0.7287,0.1479,0.1121,0.75
1.186001,0.7844,0.1615,0.0962,0.81
1.202432,0.7495,0.1813,-0.0004,0.77
1.218813,0.6869,0.1679,-0.0871,0.71
1.256701,0.6178,-0.2192,-0.0481,0.66
1.268242,0.6928,-0.2905,-0.0106,0.75
1.284844,0.8611,-0.2263,-0.0206,0.89
1.302528,1.0556,0.0203,-0.1057,1.06
1.318968,1.1485,0.3035,-0.1218,1.19
1.358192,1.1565,0.1916,-0.0561,1.17
1.372160,1.1173,0.0804,-0.0441,1.12
1.385517,1.0986,-0.0042,-0.0255,1.10
1.401975,1.1443,-0.0783,-0.0197,1.15
1.435366,1.4182,0.0548,0.1535,1.43
1.451469,1.5344,0.2788,0.2031,1.57
1.474561,1.3863,0.2429,0.2900,1.44
1.485924,1.4162,0.0602,0.4102,1.48
1.501660,1.4775,-0.0357,0.2790,1.50
1.536236,1.1301,-0.1098,0.0345,1.14
1.552881,0.9950,-0.1477,-0.1105,1.01
1.571983,1.0299,-0.1997,-0.1001,1.05
1.584772,1.0859,-0.1647,-0.0241,1.10
