time,gFx,gFy,gFz,TgF
0.007443,0.9808,-0.0220,0.1163,0.99
0.011226,0.9733,-0.0057,0.1114,0.98
0.022064,0.9517,0.0164,0.1107,0.96
0.046671,0.9032,-0.0208,0.1156,0.91
0.063867,0.9161,-0.0770,0.1099,0.93
0.082982,0.9659,-0.1310,0.0904,0.98
0.113346,1.0013,-0.1068,0.0816,1.01
0.130006,1.0174,-0.0623,0.0995,1.02
0.146158,1.0236,-0.0264,0.1221,1.03
0.163456,1.0190,0.0079,0.1170,1.03
0.182332,0.9918,0.0196,0.1090,1.00
0.213510,0.9874,-0.0238,0.1251,1.00
0.230946,1.0204,-0.0329,0.1195,1.03
0.247401,1.0248,-0.0201,0.1016,1.03
0.264840,0.8518,-0.0033,0.0718,0.85
0.294193,0.9510,-0.0607,0.0806,0.96
0.313257,0.9081,-0.0611,0.0435,0.91
0.330878,0.9232,-0.0890,0.0205,0.93
0.346495,0.9803,-0.1151,0.0317,0.99
0.363034,0.9943,-0.1112,0.0373,1.00
0.397330,0.9471,-0.1410,0.0200,0.96
0.414235,0.9843,-0.2039,0.0110,1.01
0.433681,1.0160,-0.2229,0.0438,1.04
0.447202,1.0392,-0.2080,0.0990,1.06
0.485287,1.1958,-0.0047,0.2309,1.22
0.496267,1.2422,-0.0150,0.2546,1.27
0.512891,1.2852,-0.0790,0.2497,1.31
0.529765,1.3400,-0.1591,0.1749,1.36
0.563393,1.3898,-0.2341,0.0811,1.41
0.583442,1.4384,-0.3089,0.3310,1.51
0.595969,1.4821,-0.2728,0.4065,1.56
0.611726,1.4147,-0.1676,0.4503,1.49
0.629147,1.2437,-0.0751,0.5490,1.36
0.662897,1.0292,0.0758,0.6112,1.20
0.681514,1.0519,0.1906,0.5521,1.20
0.695704,1.1003,0.2488,0.4910,1.23
0.712197,1.1264,0.2647,0.4039,1.23
0.729910,1.1020,0.1943,0.3386,1.17
0.762587,0.9864,0.0057,0.2297,1.01
0.780940,0.8907,-0.0260,0.1745,0.91
0.796251,0.8040,-0.0411,0.1253,0.81
0.813236,0.7234,-0.0474,0.0890,0.73
0.845980,0.6454,-0.0534,0.0711,0.65
0.862246,0.6366,-0.0511,0.0834,0.64
0.885504,0.6121,0.0033,0.0975,0.62
0.895380,0.6039,0.0436,0.0980,0.61
0.928340,0.6610,0.1442,0.0750,0.68
0.946814,0.6831,0.1687,0.1048,0.71
0.962668,0.6977,0.1708,0.1239,0.73
0.983739,0.7265,0.1566,0.1615,0.76
0.995713,0.7516,0.1598,0.1777,0.79
1.030524,0.8824,0.2116,0.2020,0.93
1.044759,0.9419,0.2155,0.1838,0.98
1.062051,0.9533,0.1950,0.1735,0.99
1.085490,0.9754,0.1638,0.0872,0.99
1.096878,0.9684,0.1398,0.0256,0.98
1.128751,1.0121,0.0560,-0.0397,1.01
1.146972,1.0942,0.0509,-0.0287,1.10
1.162640,1.1196,0.0687,-0.0444,1.12
1.184400,1.1927,0.0389,0.0317,1.19
1.212108,1.1775,0.0790,0.1793,1.19
1.228988,1.1384,0.1911,0.1745,1.17
1.244398,1.2016,0.2441,0.2099,1.24
1.263238,1.4113,0.2062,0.2224,1.44
1.280638,1.3807,0.2216,0.2084,1.41
1.311402,1.3143,0.4577,0.2958,1.42
1.328129,1.2977,0.5473,0.3154,1.44
1.344295,1.1352,0.4425,0.3557,1.27
1.361223,0.9034,0.2488,0.3941,1.02
1.397783,0.9288,0.0069,0.4918,1.05
1.411485,1.0458,-0.0418,0.4725,1.15
1.428319,1.0984,-0.0343,0.3806,1.16
1.444175,1.0397,0.0213,0.2683,1.07
1.461316,0.9652,0.0790,0.2201,0.99
1.481391,0.8839,0.1058,0.1940,0.91
1.511700,0.7786,0.0836,0.1630,0.80
1.529894,0.6791,0.0271,0.1253,0.69
1.544417,0.6112,-0.0323,0.0960,0.62
1.585542,0.5895,-0.1684,0.0716,0.62
1.586046,0.5895,-0.1684,0.0716,0.62
1.610729,0.7524,-0.1462,0.1344,0.78
1.629771,0.8101,-0.0688,0.1561,0.83
1.644603,0.8203,-0.0225,0.1747,0.84
1.684259,0.9317,0.0026,0.1761,0.95
1.694567,0.9461,0.0057,0.1769,0.96
1.710936,0.9339,0.0189,0.1896,0.95
1.727594,0.9288,0.0345,0.1931,0.95
1.760076,0.9955,-0.0257,0.1563,1.01
1.777620,1.0321,-0.0802,0.1188,1.04
