time,gFx,gFy,gFz,TgF
0.011062,0.0791,-0.3639,-0.9280,1.00
0.035196,0.0789,-0.3670,-0.9288,1.00
0.044674,0.0779,-0.3667,-0.9297,1.00
0.074875,0.0752,-0.3670,-0.9337,1.01
0.091562,0.0730,-0.3636,-0.9285,1.00
0.117411,0.0745,-0.3641,-0.9280,1.00
0.144211,0.0735,-0.3651,-0.9251,1.00
0.157343,0.0728,-0.3658,-0.9253,1.00
0.175244,0.0703,-0.3634,-0.9256,1.00
0.192562,0.0740,-0.3634,-0.9278,1.00
0.207804,0.0742,-0.3626,-0.9292,1.00
0.243900,0.0801,-0.3651,-0.9285,1.00
0.257328,0.0803,-0.3655,-0.9290,1.00
0.274275,0.0803,-0.3626,-0.9292,1.00
0.291136,0.0805,-0.3646,-0.9270,1.00
0.307778,0.0793,-0.3636,-0.9270,1.00
0.352914,0.0742,-0.3660,-0.9283,1.00
0.353330,0.0742,-0.3660,-0.9283,1.00
0.373970,0.0712,-0.3663,-0.9312,1.00
0.391675,0.0754,-0.3621,-0.9283,1.00
0.426805,0.0761,-0.3639,-0.9276,1.00
0.441809,0.0761,-0.3616,-0.9263,1.00
0.471124,0.0742,-0.3670,-0.9290,1.00
0.471592,0.0742,-0.3670,-0.9290,1.00
0.492795,0.0717,-0.3683,-0.9241,1.00
0.525007,0.0717,-0.3651,-0.9288,1.00
0.559050,0.0759,-0.3611,-0.9300,1.00
0.560182,0.0749,-0.3616,-0.9290,1.00
0.573624,0.0757,-0.3639,-0.9276,1.00
0.592545,0.0784,-0.3619,-0.9267,1.00
0.623828,0.0747,-0.3626,-0.9280,1.00
0.643611,0.0724,-0.3623,-0.9346,1.00
0.656994,0.0757,-0.3614,-0.9302,1.00
0.673689,0.0733,-0.3634,-0.9316,1.00
0.707134,0.0722,-0.3623,-0.9270,1.00
0.724040,0.0708,-0.3626,-0.9292,1.00
0.755197,0.0710,-0.3599,-0.9292,1.00
0.759308,0.0679,-0.3626,-0.9280,1.00
0.784581,0.0691,-0.3629,-0.9263,1.00
0.808369,0.0710,-0.3629,-0.9280,1.00
0.823492,0.0745,-0.3616,-0.9283,1.00
0.843526,0.0740,-0.3623,-0.9304,1.00
0.857218,0.0735,-0.3629,-0.9295,1.00
0.890518,0.0745,-0.3644,-0.9326,1.00
0.906480,0.0745,-0.3619,-0.9292,1.00
0.924674,0.0720,-0.3614,-0.9302,1.00
0.941574,0.0710,-0.3607,-0.9288,1.00
0.965147,0.0752,-0.3590,-0.9304,1.00
0.989447,0.0722,-0.3616,-0.9290,1.00
1.007022,0.0689,-0.3619,-0.9272,1.00
1.023200,0.0661,-0.3614,-0.9267,1.00
1.043877,0.0686,-0.3641,-0.9297,1.00
1.073093,0.0677,-0.3609,-0.9329,1.00
1.090376,0.0693,-0.3599,-0.9321,1.00
1.107480,0.0693,-0.3592,-0.9300,1.00
1.124006,0.0728,-0.3611,-0.9285,1.00
1.140467,0.0730,-0.3632,-0.9248,1.00
1.172928,0.0698,-0.3621,-0.9302,1.00
1.188954,0.0671,-0.3609,-0.9312,1.00
1.207844,0.0677,-0.3607,-0.9334,1.00
1.224051,0.0696,-0.3587,-0.9324,1.00
1.264691,0.0728,-0.3590,-0.9278,1.00
1.265027,0.0728,-0.3590,-0.9278,1.00
