time,gFx,gFy,gFz,TgF
0.006086,0.9960,-0.0546,-0.0001,1.00
0.011314,0.9972,-0.0548,-0.0013,1.00
0.032342,1.0018,-0.0562,-0.0023,1.00
0.042698,1.0033,-0.0558,-0.0029,1.00
0.065270,1.0043,-0.0595,-0.0053,1.01
0.082728,1.0031,-0.0604,-0.0041,1.00
0.099688,1.0020,-0.0597,-0.0036,1.00
0.132138,1.0018,-0.0614,-0.0018,1.00
0.151009,1.0001,-0.0611,0.0000,1.00
0.165450,1.0006,-0.0590,-0.0016,1.00
0.182594,1.0004,-0.0574,-0.0006,1.00
0.215819,0.9969,-0.0602,0.0019,1.00
0.232044,0.9987,-0.0592,0.0014,1.00
0.250851,1.0013,-0.0604,-0.0023,1.00
0.265184,1.0029,-0.0621,0.0010,1.00
0.281763,1.0048,-0.0607,0.0010,1.01
0.315035,1.0020,-0.0578,0.0023,1.00
0.332766,1.0016,-0.0550,0.0019,1.00
0.352012,0.9996,-0.0578,-0.0013,1.00
0.364911,0.9999,-0.0621,-0.0018,1.00
0.397951,0.9999,-0.0602,-0.0016,1.00
0.415547,0.9989,-0.0602,-0.0006,1.00
0.431834,1.0004,-0.0602,-0.0001,1.00
0.462800,1.0020,-0.0585,-0.0011,1.00
0.465549,1.0026,-0.0587,-0.0011,1.00
0.498119,1.0033,-0.0592,-0.0041,1.01
0.514615,1.0026,-0.0609,-0.0011,1.00
0.531811,1.0031,-0.0604,-0.0023,1.00
0.564064,1.0013,-0.0597,0.0023,1.00
0.582345,1.0024,-0.0587,0.0019,1.00
0.598627,1.0006,-0.0587,-0.0013,1.00
0.614853,1.0001,-0.0578,-0.0004,1.00
0.631590,1.0016,-0.0607,0.0007,1.00
0.665867,1.0024,-0.0597,-0.0008,1.00
0.682409,0.9989,-0.0587,0.0002,1.00
0.698950,1.0008,-0.0587,-0.0018,1.00
0.714838,0.9975,-0.0616,-0.0013,1.00
0.734030,1.0043,-0.0631,-0.0048,1.01
0.751646,1.0033,-0.0648,-0.0048,1.01
0.781519,1.0011,-0.0646,-0.0020,1.00
0.797772,1.0004,-0.0619,0.0017,1.00
0.814241,1.0008,-0.0599,0.0019,1.00
0.831475,1.0001,-0.0578,0.0019,1.00
0.850975,0.9989,-0.0558,0.0026,1.00
0.880963,0.9996,-0.0562,0.0032,1.00
0.897140,0.9975,-0.0578,0.0030,1.00
0.913730,1.0011,-0.0578,-0.0001,1.00
0.932094,1.0016,-0.0609,0.0023,1.00
0.952963,1.0020,-0.0590,0.0014,1.00
0.980112,0.9999,-0.0595,-0.0001,1.00
0.996669,1.0020,-0.0592,-0.0026,1.00
1.013068,1.0018,-0.0621,-0.0038,1.00
1.049294,1.0008,-0.0619,-0.0011,1.00
1.063203,1.0026,-0.0604,-0.0001,1.00
1.079871,1.0018,-0.0611,-0.0011,1.00
1.097149,1.0013,-0.0609,0.0037,1.00
1.113879,0.9999,-0.0614,0.0044,1.00
1.153926,0.9994,-0.0587,0.0051,1.00
1.154568,0.9994,-0.0587,0.0051,1.00
1.180019,1.0011,-0.0578,0.0010,1.00
1.197128,1.0029,-0.0587,-0.0011,1.00
1.214053,1.0033,-0.0623,-0.0023,1.01
1.253569,0.9994,-0.0616,-0.0016,1.00
1.263781,1.0011,-0.0604,-0.0004,1.00
1.279932,0.9994,-0.0614,-0.0006,1.00
1.296925,1.0006,-0.0609,-0.0016,1.00
1.329665,0.9969,-0.0550,-0.0004,1.00
1.348582,0.9987,-0.0570,0.0002,1.00
1.376171,1.0004,-0.0595,-0.0006,1.00
1.376965,1.0004,-0.0595,-0.0006,1.00
1.396691,1.0026,-0.0616,-0.0004,1.00
1.430367,1.0033,-0.0602,-0.0004,1.01
1.446355,1.0004,-0.0616,0.0014,1.00
1.467765,1.0013,-0.0648,0.0024,1.00
1.479818,1.0011,-0.0619,0.0010,1.00
1.496875,1.0004,-0.0634,0.0005,1.00
1.529751,1.0011,-0.0643,0.0010,1.00
1.547102,1.0041,-0.0646,0.0014,1.01
1.568866,1.0018,-0.0631,0.0023,1.00
1.580096,0.9992,-0.0602,0.0014,1.00
1.614569,1.0013,-0.0623,0.0014,1.00
1.630991,1.0031,-0.0626,0.0005,1.01
1.646024,1.0031,-0.0616,0.0005,1.00
1.666806,1.0016,-0.0592,-0.0013,1.00
1.679773,1.0008,-0.0592,-0.0004,1.00
1.713300,0.9996,-0.0599,-0.0013,1.00
