time,gFx,gFy,gFz,TgF
0.007022,1.0038,-0.0196,-0.0353,1.00
0.030580,1.0008,-0.0182,-0.0351,1.00
0.052834,1.0008,-0.0184,-0.0336,1.00
0.069635,1.0020,-0.0189,-0.0360,1.00
0.086182,1.0029,-0.0176,-0.0348,1.00
0.103127,1.0057,-0.0189,-0.0332,1.01
0.151242,1.0043,-0.0199,-0.0311,1.00
0.152690,1.0045,-0.0192,-0.0302,1.01
0.169516,1.0031,-0.0182,-0.0314,1.00
0.186129,1.0038,-0.0215,-0.0321,1.00
0.203611,1.0041,-0.0225,-0.0380,1.01
0.238209,1.0041,-0.0167,-0.0407,1.01
0.253058,1.0016,-0.0152,-0.0365,1.00
0.270252,1.0008,-0.0159,-0.0370,1.00
0.287302,0.9989,-0.0169,-0.0385,1.00
0.304546,1.0004,-0.0201,-0.0419,1.00
0.340983,1.0036,-0.0250,-0.0378,1.00
0.354157,1.0013,-0.0228,-0.0385,1.00
0.369419,1.0006,-0.0220,-0.0388,1.00
0.386411,1.0004,-0.0201,-0.0412,1.00
0.422174,1.0020,-0.0194,-0.0404,1.00
0.436315,1.0036,-0.0203,-0.0414,1.00
0.452815,1.0038,-0.0176,-0.0402,1.00
0.470312,1.0004,-0.0189,-0.0427,1.00
0.486790,1.0018,-0.0231,-0.0453,1.00
0.523438,1.0020,-0.0231,-0.0441,1.00
0.535971,1.0008,-0.0257,-0.0446,1.00
0.552595,1.0006,-0.0233,-0.0395,1.00
0.569395,1.0043,-0.0240,-0.0380,1.01
0.603461,1.0024,-0.0169,-0.0353,1.00
0.620921,0.9989,-0.0187,-0.0367,1.00
0.638473,1.0001,-0.0211,-0.0395,1.00
0.652778,0.9999,-0.0201,-0.0419,1.00
0.669012,1.0026,-0.0213,-0.0395,1.00
0.701692,1.0057,-0.0208,-0.0353,1.01
0.720821,1.0038,-0.0225,-0.0323,1.00
0.736724,1.0008,-0.0199,-0.0358,1.00
0.756194,1.0024,-0.0206,-0.0355,1.00
0.769026,1.0016,-0.0218,-0.0351,1.00
0.802162,1.0043,-0.0208,-0.0367,1.01
0.820294,1.0038,-0.0196,-0.0388,1.00
0.835979,1.0018,-0.0196,-0.0407,1.00
0.857000,1.0018,-0.0206,-0.0370,1.00
0.885422,1.0026,-0.0199,-0.0332,1.00
0.902745,1.0038,-0.0211,-0.0304,1.00
0.920478,1.0050,-0.0220,-0.0295,1.01
0.940126,1.0038,-0.0174,-0.0295,1.00
0.952374,1.0041,-0.0180,-0.0290,1.00
0.985937,1.0026,-0.0145,-0.0270,1.00
1.002020,0.9999,-0.0135,-0.0272,1.00
1.020772,1.0016,-0.0155,-0.0285,1.00
1.036823,1.0031,-0.0182,-0.0321,1.00
1.056485,1.0024,-0.0187,-0.0355,1.00
1.085459,1.0026,-0.0189,-0.0385,1.00
1.101766,1.0029,-0.0225,-0.0367,1.00
1.117971,1.0020,-0.0248,-0.0375,1.00
1.141263,1.0020,-0.0238,-0.0367,1.00
1.168943,1.0053,-0.0215,-0.0385,1.01
1.185412,1.0043,-0.0187,-0.0402,1.01
1.202287,0.9989,-0.0218,-0.0460,1.00
1.218892,0.9989,-0.0225,-0.0441,1.00
1.239277,1.0011,-0.0260,-0.0463,1.00
1.268306,1.0011,-0.0264,-0.0400,1.00
1.284806,1.0033,-0.0250,-0.0375,1.00
1.304058,1.0064,-0.0225,-0.0365,1.01
1.318132,1.0050,-0.0225,-0.0390,1.01
1.357172,1.0006,-0.0211,-0.0429,1.00
1.368375,0.9999,-0.0225,-0.0427,1.00
1.384231,0.9999,-0.0199,-0.0478,1.00
1.400928,0.9996,-0.0194,-0.0476,1.00
1.434228,0.9999,-0.0240,-0.0509,1.00
1.454563,1.0013,-0.0264,-0.0470,1.00
1.468076,1.0024,-0.0231,-0.0444,1.00
1.483551,1.0018,-0.0233,-0.0444,1.00
1.501244,1.0057,-0.0282,-0.0434,1.01
