time,gFx,gFy,gFz,TgF
0.008893,0.8467,0.1051,0.2385,0.89
0.021168,0.8401,0.1371,0.2143,0.88
0.048394,0.8496,0.2106,0.1717,0.89
0.065133,0.8420,0.2314,0.1659,0.89
0.088598,0.8222,0.2400,0.1535,0.87
0.098635,0.8220,0.2370,0.1515,0.87
0.114968,0.8455,0.2248,0.1456,0.89
0.149789,0.8992,0.1628,0.1507,0.93
0.165024,0.8970,0.1286,0.1417,0.92
0.184981,0.9109,0.0856,0.1275,0.92
0.199112,0.9068,0.0521,0.1317,0.92
0.231493,0.8438,0.0264,0.1908,0.87
0.249123,0.8746,0.0755,0.2035,0.90
0.266109,0.9437,0.1445,0.1901,0.97
0.285572,1.0751,0.1916,0.1425,1.10
0.298259,1.1404,0.1974,0.1388,1.17
0.331903,1.1831,0.1838,0.1523,1.21
0.348038,1.2014,0.1967,0.2653,1.25
0.364321,1.1767,0.1723,0.3555,1.24
0.386017,1.1033,0.1671,0.2939,1.15
0.415668,1.1196,0.2023,0.3660,1.20
0.431413,1.1413,0.2505,0.3212,1.21
0.447840,1.0634,0.3082,0.3184,1.15
0.465021,0.9407,0.3228,0.3105,1.04
0.497150,0.8054,0.3225,0.3428,0.93
0.501354,0.8108,0.3213,0.3398,0.94
0.522257,0.8589,0.2546,0.3286,0.95
0.547541,0.8755,0.1271,0.3440,0.95
0.563627,0.8863,0.0897,0.3652,0.96
0.596429,0.9075,0.1042,0.3582,0.98
0.615379,0.9153,0.1081,0.3455,0.98
0.630518,0.9319,0.1337,0.3132,0.99
0.647761,0.9083,0.1557,0.2597,0.96
0.680208,0.8538,0.1559,0.2118,0.89
0.697570,0.8230,0.1389,0.2126,0.86
0.714326,0.8226,0.1144,0.2087,0.86
0.730297,0.8443,0.0846,0.1982,0.87
0.748077,0.8650,0.0413,0.2031,0.89
0.768552,0.9007,-0.0176,0.1994,0.92
0.797348,0.9075,-0.0675,0.1982,0.93
0.814798,0.8790,-0.0709,0.2040,0.91
0.830579,0.8734,-0.0758,0.1733,0.89
0.847947,0.9095,-0.0499,0.1647,0.93
0.868298,0.9608,0.0133,0.1710,0.98
0.897767,1.0392,0.0457,0.2414,1.07
0.914024,1.0866,0.0208,0.2858,1.12
0.931212,1.1152,-0.0377,0.3075,1.16
0.947746,1.0968,-0.0868,0.2793,1.14
0.968835,1.0619,-0.0462,0.2316,1.09
0.996684,1.1005,0.0662,0.2922,1.14
1.015731,1.2456,0.2246,0.3345,1.31
1.031978,1.1746,0.2048,0.3386,1.24
1.072844,1.0783,0.0320,0.4987,1.19
1.075278,1.0632,0.0274,0.5064,1.18
1.096277,0.9615,0.0338,0.5197,1.09
1.113932,0.9302,0.0988,0.5802,1.10
1.130708,0.9183,0.1882,0.5802,1.10
1.167384,0.8927,0.3228,0.3906,1.03
1.180039,0.9158,0.3541,0.3298,1.04
1.196486,0.9403,0.3599,0.2704,1.04
1.213287,0.9623,0.3179,0.2604,1.05
1.247604,0.9437,0.1415,0.2609,0.99
1.263518,0.9454,0.0788,0.2521,0.98
1.284880,0.9371,0.0255,0.2465,0.97
1.297300,0.9205,0.0162,0.2338,0.95
1.313627,0.9300,0.0274,0.2189,0.96
1.346875,0.8846,0.0560,0.1605,0.90
1.364256,0.8457,0.0695,0.1070,0.86
1.384597,0.7910,0.0767,0.0825,0.80
1.396177,0.7959,0.0719,0.0764,0.80
1.412242,0.8017,0.0792,0.0633,0.81
1.447027,0.7883,0.1263,0.0594,0.80
1.462426,0.8096,0.1242,0.0555,0.82
1.485587,0.8325,0.0968,0.0501,0.84
1.496168,0.8245,0.0860,0.0767,0.83
1.513339,0.8536,0.0885,0.1571,0.87
1.545873,1.0192,0.1901,0.2551,1.07
1.562056,1.1010,0.2344,0.2013,1.14
1.585249,1.2598,0.2207,0.2001,1.29
1.599342,1.2666,0.1789,0.1894,1.29
1.628931,1.2428,0.1706,0.2793,1.29
1.645649,1.1667,0.1393,0.3235,1.22
1.662637,1.1494,0.1759,0.2416,1.19
1.683953,1.1613,0.2060,0.3729,1.24
