time,gFx,gFy,gFz,TgF
0.012061,0.9424,0.2703,0.2819,1.02
0.031447,0.9936,0.2437,0.2851,1.06
0.047623,1.0141,0.2637,0.3103,1.09
0.061305,1.0143,0.2873,0.3203,1.10
0.077682,1.0172,0.3233,0.3257,1.12
0.110546,0.8729,0.2605,0.4813,1.03
0.127750,0.8992,0.2566,0.6308,1.13
0.153592,1.0779,0.2288,0.7926,1.36
0.160596,1.1331,0.2180,0.7515,1.38
0.193504,1.3481,0.1755,0.7962,1.58
0.210598,1.2928,0.1728,0.8663,1.57
0.226978,1.2491,0.1992,0.7992,1.50
0.246303,1.1704,0.2280,0.6988,1.38
0.259720,1.1311,0.2199,0.6176,1.31
0.294447,0.9882,0.1286,0.4379,1.09
0.310782,0.8963,0.0981,0.4078,0.99
0.327264,0.8411,0.0937,0.4165,0.94
0.347874,0.8264,0.1095,0.4078,0.93
0.360755,0.8105,0.1223,0.4221,0.92
0.393931,0.8015,0.1347,0.4283,0.92
0.410858,0.7790,0.1379,0.4586,0.91
0.428573,0.7719,0.1464,0.4684,0.91
0.446797,0.7627,0.1273,0.4838,0.91
0.476528,0.7937,0.0832,0.4686,0.93
0.494691,0.8284,0.0727,0.4554,0.95
0.510732,0.8653,0.0670,0.4532,0.98
0.527785,0.8729,0.0548,0.4552,0.99
0.560085,0.8469,0.0890,0.4305,0.95
0.576772,0.8296,0.1193,0.3806,0.92
0.594292,0.8315,0.1428,0.3543,0.92
0.609486,0.8113,0.1533,0.3640,0.90
0.657364,0.6911,0.1051,0.3911,0.80
0.658017,0.6911,0.1051,0.3911,0.80
0.675790,0.5978,0.0968,0.3396,0.69
0.692605,0.5699,0.1107,0.2541,0.63
0.709443,0.5580,0.1083,0.1942,0.60
0.759583,0.7390,0.0934,0.1791,0.77
0.760109,0.7390,0.0934,0.1791,0.77
0.775716,0.8196,0.0773,0.2406,0.86
0.792441,0.9664,0.0665,0.3171,1.02
0.810698,1.0411,0.0215,0.4256,1.12
0.853975,0.8352,0.1014,0.6249,1.05
0.854377,0.8352,0.1014,0.6249,1.05
0.876246,1.1000,0.4079,0.7300,1.38
0.893391,1.2743,0.5998,0.7205,1.58
0.926701,1.1115,0.5549,0.6261,1.39
0.948406,1.1025,0.3765,0.3853,1.23
0.968131,1.0856,0.3228,0.4910,1.23
0.976190,1.0998,0.3318,0.5714,1.28
0.995103,1.1589,0.3059,0.7188,1.40
1.025636,1.1003,0.3905,0.5527,1.29
1.046389,1.0024,0.4102,0.4593,1.18
1.059896,0.9359,0.3846,0.4205,1.10
1.075610,0.9014,0.3506,0.3877,1.04
1.109019,0.8506,0.2563,0.4229,0.98
1.126093,0.8504,0.1901,0.3985,0.96
1.146128,0.8371,0.1235,0.3858,0.93
1.159436,0.8274,0.1019,0.3599,0.91
1.192251,0.7686,0.1373,0.3161,0.84
1.208824,0.7653,0.1804,0.2863,0.84
1.225443,0.7370,0.2036,0.2592,0.81
1.246023,0.7306,0.2539,0.2155,0.80
1.259493,0.7123,0.2835,0.2316,0.80
1.291091,0.7131,0.2674,0.2299,0.80
1.308308,0.7190,0.2490,0.2665,0.81
1.324833,0.6762,0.2195,0.2663,0.76
1.345053,0.6112,0.1862,0.2348,0.68
1.359007,0.5767,0.1459,0.2201,0.63
1.391371,0.5951,0.0773,0.2131,0.64
1.407848,0.5608,0.0629,0.2458,0.62
1.426614,0.5682,0.0326,0.2084,0.61
1.447698,0.6862,0.0028,0.1349,0.70
1.475385,0.9100,0.1095,0.2695,0.96
1.491351,1.0287,0.3094,0.3384,1.13
1.507293,1.0981,0.4841,0.4160,1.27
1.524669,1.1399,0.5419,0.4463,1.34
1.544676,1.1611,0.4364,0.6315,1.39
1.574301,1.3786,0.4210,1.0081,1.76
1.591310,1.4897,0.3404,0.9506,1.80
1.608004,1.3768,0.1950,0.9320,1.67
1.624583,1.2295,0.1251,0.8786,1.52
1.645982,1.0549,0.0704,0.7034,1.27
1.674048,0.9368,0.1626,0.4847,1.07
1.691580,0.9867,0.2351,0.3787,1.08
1.707911,1.0343,0.2381,0.2988,1.10
1.724259,1.0280,0.2172,0.3110,1.10
1.745959,0.9962,0.1813,0.3643,1.08
1.773587,0.8870,0.0939,0.4524,1.00
1.791082,0.8331,0.0856,0.5052,0.98
1.811645,0.7893,0.1261,0.5172,0.95
1.852469,0.7842,0.1070,0.4759,0.92
1.853562,0.7842,0.1070,0.4759,0.92
1.873539,0.7866,0.0699,0.4459,0.91
1.890839,0.7641,0.0429,0.4241,0.87
1.907940,0.7565,0.0245,0.4009,0.86
1.945252,0.6952,0.0355,0.3711,0.79
1.956707,0.6820,0.0506,0.3440,0.77
1.973701,0.6624,0.0667,0.3252,0.74
1.990550,0.6386,0.0767,0.3168,0.72
2.023484,0.6479,0.1054,0.3274,0.73
2.042111,0.6230,0.1076,0.3093,0.70
2.062638,0.6891,0.1195,0.2162,0.73
2.080761,0.7790,0.1239,0.1826,0.81
2.107385,0.7875,0.0487,0.3201,0.85
2.123619,0.9078,0.0274,0.2306,0.94
2.139757,1.0463,0.0159,0.1330,1.05
2.159591,0.9918,-0.0634,0.2411,1.02
2.172897,0.8093,-0.1340,0.3848,0.91
2.207519,0.6831,0.0683,0.4244,0.81
2.223681,0.7996,0.2915,0.6410,1.07
2.239332,1.1276,0.5190,0.6846,1.42
2.262586,1.4015,0.5493,0.5665,1.61
2.276104,1.3231,0.6499,0.7605,1.66
2.306374,1.2344,0.7865,0.5795,1.57
2.323627,1.1548,0.6152,0.4984,1.40
2.339566,1.1819,0.4515,0.5480,1.38
2.359304,1.2349,0.2707,0.6867,1.44
2.389487,1.1770,0.2178,0.6653,1.37
2.405822,1.0824,0.3042,0.5089,1.23
2.423746,1.0131,0.3558,0.4112,1.15
2.439714,0.9554,0.3413,0.3667,1.08
2.463065,0.8704,0.3233,0.3841,1.00
2.489032,0.7673,0.2561,0.3277,0.87
2.505669,0.7329,0.2099,0.2898,0.82
2.523333,0.7073,0.1799,0.2080,0.76
2.540735,0.6762,0.1774,0.2050,0.73
2.561126,0.6889,0.1643,0.2313,0.75
2.589418,0.7074,0.1618,0.2612,0.77
2.606237,0.7221,0.1626,0.2600,0.78
2.624916,0.6962,0.1579,0.2746,0.76
2.640856,0.6435,0.1654,0.2827,0.72
2.664985,0.6132,0.1838,0.2580,0.69
2.689768,0.6473,0.2407,0.2821,0.75
2.705640,0.6393,0.2610,0.2979,0.75
2.723050,0.5816,0.2239,0.2467,0.67
2.745708,0.5767,0.1308,0.1796,0.62
2.772235,0.6237,0.1158,0.1979,0.66
2.790067,0.6407,0.1203,0.2346,0.69
2.806359,0.6894,0.1244,0.2529,0.74
2.824480,0.7798,0.0985,0.2560,0.83
2.863415,1.1159,0.3155,0.3373,1.21
2.863767,1.1159,0.3155,0.3373,1.21
2.885481,1.1426,0.4755,0.5045,1.34
2.904740,1.2323,0.4640,0.5616,1.43
2.942818,1.2063,0.2961,0.8847,1.52
