time,gFx,gFy,gFz,TgF
0.003754,0.9097,0.3380,0.2443,1.00
0.036522,0.9004,0.3509,0.2304,0.99
0.038139,0.9004,0.3509,0.2304,0.99
0.063699,0.8753,0.3301,0.2551,0.97
0.079261,0.8775,0.3289,0.2773,0.98
0.111408,0.8770,0.2891,0.2514,0.96
0.129447,0.8941,0.2563,0.2216,0.96
0.144355,0.9288,0.2341,0.1994,0.98
0.173479,0.9542,0.2270,0.1882,1.00
0.177201,0.9542,0.2276,0.1861,1.00
0.210859,0.9072,0.2312,0.1793,0.95
0.231149,0.8665,0.2637,0.1630,0.92
0.246566,0.8210,0.2747,0.1549,0.88
0.262204,0.7812,0.2835,0.1526,0.84
0.277327,0.7285,0.2779,0.1317,0.79
0.310412,0.6874,0.3005,0.0799,0.75
0.326741,0.6820,0.2933,0.0648,0.75
0.346198,0.7318,0.2905,0.0601,0.79
0.362291,0.7641,0.2805,0.0845,0.82
0.393251,0.8164,0.3098,0.0848,0.88
0.409705,0.8320,0.3196,0.0816,0.90
0.426350,0.8560,0.3223,0.0906,0.92
0.457373,0.9063,0.2922,0.0857,0.96
0.464044,0.9225,0.2866,0.0818,0.97
0.493631,0.9759,0.2871,0.0484,1.02
0.510549,1.0421,0.2828,0.0613,1.08
0.527400,1.1313,0.2558,0.0601,1.16
0.544607,1.2281,0.2162,0.0107,1.25
0.576178,0.9256,0.2563,0.2385,0.99
0.594602,1.2430,0.4780,0.2656,1.36
0.609818,1.2952,0.5368,0.3132,1.44
0.626073,1.3581,0.6031,0.2101,1.50
0.647333,1.2205,0.5285,0.4547,1.41
0.677669,1.0476,0.3924,0.3408,1.17
0.692745,0.9549,0.3108,0.3257,1.06
0.709824,0.9041,0.2162,0.3005,0.98
0.726190,0.8623,0.1422,0.2870,0.92
0.764568,0.8902,0.1030,0.2968,0.94
0.784302,0.9403,0.1349,0.3042,1.00
0.792090,0.9461,0.1559,0.3010,1.01
0.809508,0.9603,0.2090,0.2668,1.02
0.846861,0.9214,0.2835,0.2224,0.99
0.865149,0.9058,0.2644,0.2360,0.97
0.875632,0.8932,0.2463,0.2282,0.95
0.893731,0.8804,0.2270,0.2358,0.94
0.911511,0.8638,0.2106,0.2325,0.92
0.942189,0.8198,0.1901,0.2162,0.87
0.963702,0.7673,0.1579,0.2013,0.81
0.993829,0.7265,0.0893,0.1745,0.75
0.998041,0.7292,0.0758,0.1725,0.75
1.009893,0.7285,0.0382,0.1515,0.75
1.041778,0.7404,-0.0075,0.1470,0.75
1.063982,0.7971,0.0003,0.1659,0.81
1.080969,0.8196,0.0108,0.1777,0.84
1.091440,0.8333,0.0247,0.1712,0.85
1.125615,0.8878,0.0961,0.1691,0.91
1.142274,0.9449,0.1137,0.2052,0.97
1.161807,0.9926,0.1640,0.2224,1.03
1.175837,1.0712,0.1454,0.2108,1.10
1.192182,1.1716,0.0792,0.2292,1.20
1.225848,1.3400,0.0069,0.2781,1.37
1.242152,1.3952,-0.0079,0.2917,1.43
1.263041,1.3735,0.0436,0.3571,1.42
1.280494,1.2591,-0.0162,0.4176,1.33
1.308321,1.2769,0.1674,0.4381,1.36
1.326021,1.1206,0.1757,0.3538,1.19
1.342155,0.9537,0.2519,0.3149,1.04
1.366702,0.8010,0.3672,0.2672,0.92
1.384707,0.8142,0.4254,0.2732,0.96
1.409097,0.9186,0.4256,0.3164,1.06
1.426531,1.0101,0.3978,0.3086,1.13
1.442573,1.0238,0.3626,0.3103,1.13
1.461595,0.9960,0.2905,0.2814,1.08
1.476585,0.9828,0.2300,0.2560,1.04
1.507606,1.0011,0.1489,0.2282,1.04
1.524065,1.0082,0.1373,0.2185,1.04
1.542093,1.0097,0.1437,0.1871,1.04
1.562030,0.9820,0.1694,0.1219,1.00
1.578703,0.9430,0.1962,0.0929,0.97
1.608762,0.8440,0.2314,0.0967,0.88
1.623888,0.7932,0.2241,0.0999,0.83
1.642761,0.7627,0.2248,0.1036,0.80
1.661927,0.7370,0.2356,0.1165,0.78
1.691229,0.7309,0.2400,0.1119,0.78
1.708500,0.7258,0.2505,0.1373,0.78
1.723692,0.7378,0.2625,0.1566,0.80
1.741678,0.7607,0.2719,0.1710,0.83
1.762536,0.8142,0.2937,0.1170,0.87
1.790858,0.8858,0.3189,0.1188,0.95
1.809092,0.8843,0.2982,0.1398,0.94
1.823936,0.8618,0.2561,0.1168,0.91
1.860858,0.9422,0.2258,0.0079,0.97
1.883722,1.0192,0.2094,0.0333,1.04
1.890272,1.0463,0.2082,0.0261,1.07
1.907658,1.1108,0.2276,-0.0011,1.13
1.923712,1.1520,0.2534,0.0035,1.18
1.961670,1.1836,0.4518,0.1705,1.28
1.977290,1.2545,0.4626,0.1461,1.35
1.995613,1.2982,0.4259,0.1498,1.37
2.023119,1.1963,0.2961,0.3774,1.29
2.040062,1.0725,0.3147,0.3494,1.17
2.059414,0.9156,0.3331,0.3000,1.02
2.073680,0.8340,0.3296,0.2455,0.93
2.089573,0.8198,0.3320,0.2189,0.91
2.123364,0.9107,0.2129,0.2318,0.96
2.140220,0.9428,0.1508,0.2702,0.99
2.162721,0.9615,0.0916,0.3335,1.02
2.181660,0.9493,0.1000,0.3433,1.01
2.206405,0.9319,0.1496,0.3061,0.99
2.223877,0.9454,0.1948,0.2648,1.00
2.241689,0.9349,0.2458,0.2233,0.99
2.256946,0.8870,0.2693,0.1976,0.95
2.279453,0.8347,0.2881,0.1728,0.90
2.297224,0.7705,0.2570,0.1720,0.83
2.324189,0.7318,0.1799,0.1735,0.77
2.341133,0.7248,0.1105,0.1551,0.75
2.356849,0.7367,0.0480,0.1571,0.75
2.378001,0.7593,-0.0313,0.1823,0.78
2.406346,0.8350,-0.0225,0.1926,0.86
2.423765,0.8653,0.0030,0.2045,0.89
2.441043,0.9063,0.0315,0.1935,0.93
2.456326,0.9288,0.0602,0.1803,0.95
2.478217,0.9466,0.0968,0.1470,0.96
2.505855,0.9647,0.1070,0.1285,0.98
2.522696,0.9584,0.0836,0.1463,0.97
2.539040,0.9579,0.0636,0.1774,0.98
2.559106,1.0148,0.0355,0.1903,1.03
2.589145,1.1916,0.0304,0.2267,1.21
2.605426,1.2452,0.0648,0.2321,1.27
2.622052,1.3216,0.1063,0.2485,1.35
2.639987,1.3578,0.0963,0.3289,1.40
2.677850,1.3735,0.1640,0.4747,1.46
2.678802,1.3735,0.1640,0.4747,1.46
2.705557,1.1625,0.1701,0.4212,1.25
2.722310,1.0062,0.2004,0.3855,1.10
2.740130,0.9198,0.2502,0.3662,1.02
2.778575,0.9324,0.3606,0.3217,1.05
2.797913,0.9706,0.3602,0.2790,1.07
2.805170,1.0006,0.3525,0.2604,1.09
2.822045,0.9880,0.3364,0.2325,1.07
2.855920,0.9545,0.2486,0.2216,1.01
2.879482,0.9787,0.1916,0.2143,1.02
2.897098,0.9957,0.1762,0.2045,1.03
2.904527,0.9994,0.1669,0.2028,1.03
2.921475,0.9882,0.1515,0.1854,1.02
2.958754,0.9237,0.1474,0.1644,0.95
2.980224,0.8189,0.1564,0.1324,0.84
2.992122,0.7807,0.1718,0.1265,0.81
3.005126,0.7483,0.1894,0.1261,0.78
3.022101,0.6987,0.2094,0.1202,0.74
3.055001,0.6605,0.2957,0.1039,0.73
3.073865,0.6677,0.3301,0.1018,0.75
