time,gFx,gFy,gFz,TgF,Activity,Subject
0.010562,0.3288,-0.3991,-0.8522,1.0,LAYING,LAKSH
0.036925,0.3302,-0.4017,-0.852,1.0,LAYING,LAKSH
0.042296,0.3319,-0.4014,-0.8506,1.0,LAYING,LAKSH
0.058767,0.3346,-0.4027,-0.8482,1.0,LAYING,LAKSH
0.092472,0.3361,-0.4061,-0.8498,1.0,LAYING,LAKSH
0.109648,0.3321,-0.4076,-0.8547,1.0,LAYING,LAKSH
0.127517,0.3305,-0.4095,-0.8591,1.01,LAYING,LAKSH
0.141784,0.3293,-0.4107,-0.8542,1.0,LAYING,LAKSH
0.158437,0.329,-0.4079,-0.8498,1.0,LAYING,LAKSH
0.19356,0.3232,-0.4061,-0.8554,1.0,LAYING,LAKSH
0.209399,0.3227,-0.376,-0.8538,0.99,LAYING,LAKSH
0.236853,0.331,-0.4184,-0.8484,1.0,LAYING,LAKSH
0.241985,0.3249,-0.4159,-0.8559,1.01,LAYING,LAKSH
0.274489,0.3241,-0.4117,-0.8554,1.0,LAYING,LAKSH
0.291438,0.3244,-0.4061,-0.8579,1.0,LAYING,LAKSH
0.30827,0.3258,-0.4022,-0.8574,1.0,LAYING,LAKSH
0.339437,0.319,-0.4019,-0.8613,1.0,LAYING,LAKSH
0.341074,0.3207,-0.401,-0.8587,1.0,LAYING,LAKSH
0.375308,0.32,-0.4014,-0.8569,1.0,LAYING,LAKSH
0.391651,0.3183,-0.3942,-0.8603,1.0,LAYING,LAKSH
0.408815,0.3202,-0.3905,-0.8587,1.0,LAYING,LAKSH
0.436202,0.3209,-0.4079,-0.8515,1.0,LAYING,LAKSH
0.441539,0.3193,-0.4083,-0.852,1.0,LAYING,LAKSH
0.474487,0.3207,-0.4037,-0.8569,1.0,LAYING,LAKSH
0.491096,0.3202,-0.4059,-0.8643,1.01,LAYING,LAKSH
0.507686,0.3227,-0.4056,-0.8628,1.01,LAYING,LAKSH
0.527986,0.3274,-0.4059,-0.8545,1.0,LAYING,LAKSH
0.558103,0.3207,-0.4049,-0.8473,0.99,LAYING,LAKSH
0.57562,0.3158,-0.3954,-0.8522,0.99,LAYING,LAKSH
