accx,accy,accz,Activity,Subject
0.1811413,0.7878133,0.581194,LAYING,1
0.1803886,0.78823,0.5840168,LAYING,1
0.1845716,0.7888803,0.5806201,LAYING,1
0.1871044,0.7884942,0.5742789,LAYING,1
0.1864613,0.7865438,0.5701844,LAYING,1
0.186145,0.7878105,0.570179,LAYING,1
0.1899235,0.7879078,0.5720006,LAYING,1
0.1930647,0.7879235,0.5769331,LAYING,1
0.1901308,0.7896034,0.5754691,LAYING,1
0.1840766,0.7883853,0.5736857,LAYING,1
0.1787438,0.7869169,0.5782781,LAYING,1
0.1804751,0.7865416,0.5768502,LAYING,1
0.1866441,0.7899806,0.5729889,LAYING,1
0.1881043,0.7968576,0.5690532,LAYING,1
0.1875201,0.7985047,0.5686374,LAYING,1
0.1864577,0.7965345,0.5745978,LAYING,1
0.185567,0.7961915,0.575487,LAYING,1
0.1859632,0.7949749,0.5749763,LAYING,1
0.1832877,0.7909108,0.5751798,LAYING,1
0.1815546,0.7868142,0.573915,LAYING,1
0.1845881,0.7869043,0.5729752,LAYING,1
0.1872259,0.7895137,0.5696355,LAYING,1
0.1861786,0.7908085,0.5705974,LAYING,1
0.184416,0.7919494,0.5726649,LAYING,1
0.1856936,0.7914407,0.5703077,LAYING,1
0.1882394,0.7873332,0.5692349,LAYING,1
0.1909168,0.784322,0.5675774,LAYING,1
0.1900958,0.7842649,0.5685369,LAYING,1
0.1861476,0.7862471,0.5704174,LAYING,1
0.1862147,0.7911444,0.5679628,LAYING,1
0.1860613,0.7954339,0.5684897,LAYING,1
0.1856696,0.7927887,0.5718814,LAYING,1
0.1872312,0.7878314,0.573933,LAYING,1
0.1874654,0.789523,0.5715887,LAYING,1
0.1909742,0.7898757,0.5679724,LAYING,1
0.1934969,0.7875851,0.5715632,LAYING,1
0.192846,0.7904579,0.5745219,LAYING,1
0.1931137,0.7899848,0.573154,LAYING,1
0.1904921,0.7884006,0.5730692,LAYING,1
0.1878819,0.7894387,0.5701012,LAYING,1
0.185964,0.7865715,0.5670995,LAYING,1
0.1845911,0.7861633,0.5698601,LAYING,1
0.1854505,0.7866547,0.5729005,LAYING,1
0.1863978,0.785388,0.5736249,LAYING,1
0.190015,0.7865583,0.5780548,LAYING,1
0.1909218,0.7866116,0.5823931,LAYING,1
0.1872313,0.7887051,0.5736915,LAYING,1
0.1842326,0.7925297,0.5637072,LAYING,1
0.180511,0.7926859,0.5683254,LAYING,1
0.1802723,0.792049,0.5721741,LAYING,1
0.1828297,0.7916275,0.5705076,LAYING,1
0.1839791,0.7914465,0.5729121,LAYING,1
0.1859775,0.7918321,0.5715874,LAYING,1
0.1889061,0.7913084,0.5685703,LAYING,1
0.1914498,0.7897842,0.5700025,LAYING,1
0.190219,0.7884267,0.5690626,LAYING,1
0.1885659,0.7886658,0.5688503,LAYING,1
0.18936,0.7890693,0.5708247,LAYING,1
0.1883425,0.787866,0.5714765,LAYING,1
0.187979,0.7871017,0.5714196,LAYING,1
0.1875998,0.7877908,0.5705506,LAYING,1
0.1869051,0.7886359,0.5736831,LAYING,1
0.18752,0.7899458,0.5754878,LAYING,1
0.1846476,0.7911016,0.5700089,LAYING,1
0.1822847,0.7919169,0.5664985,LAYING,1
0.1838059,0.793324,0.5671994,LAYING,1
0.1855268,0.7920095,0.5691339,LAYING,1
0.1874289,0.7881771,0.5710671,LAYING,1
0.1879252,0.7869959,0.5737714,LAYING,1
0.1873017,0.7883892,0.5761257,LAYING,1
0.1874743,0.7893995,0.5747635,LAYING,1
0.1875796,0.788719,0.5750721,LAYING,1
0.1874844,0.7878636,0.5772027,LAYING,1
0.1874397,0.788402,0.5779735,LAYING,1
0.1875798,0.7898731,0.5778524,LAYING,1
0.1869295,0.7935433,0.5758588,LAYING,1
0.1847823,0.7963858,0.5760281,LAYING,1
0.1833223,0.7925071,0.5765682,LAYING,1
0.1864823,0.786928,0.574466,LAYING,1
0.1901352,0.7858691,0.5733031,LAYING,1
0.1863268,0.7848397,0.5719192,LAYING,1
0.1828897,0.7842837,0.5711033,LAYING,1
0.1852495,0.7880893,0.5757409,LAYING,1
0.185302,0.7899656,0.5825271,LAYING,1
0.1851678,0.7894709,0.5809749,LAYING,1
0.1876786,0.7904351,0.5748146,LAYING,1
0.1878182,0.7890977,0.5747115,LAYING,1
0.1877572,0.7866263,0.5746399,LAYING,1
0.1903184,0.7860143,0.5718291,LAYING,1
0.192275,0.7877314,0.5714586,LAYING,1
0.1910688,0.7896831,0.5704087,LAYING,1
0.1894267,0.7879147,0.5700488,LAYING,1
0.1900764,0.7868124,0.5745609,LAYING,1
0.1886776,0.7881917,0.5762215,LAYING,1
0.1855944,0.7894416,0.5723477,LAYING,1
0.1858872,0.7916165,0.5719201,LAYING,1
0.1869846,0.7922465,0.5747942,LAYING,1
0.1885609,0.7909542,0.5767655,LAYING,1
0.1910099,0.7898918,0.5766496,LAYING,1
0.1897136,0.7881611,0.5732056,LAYING,1
0.1881076,0.7867169,0.5719042,LAYING,1
0.1900625,0.7862243,0.5730728,LAYING,1
0.190812,0.7869899,0.5735939,LAYING,1
0.1894438,0.7897924,0.5756323,LAYING,1
0.1878185,0.7910426,0.5752675,LAYING,1
0.1862884,0.7897928,0.5733235,LAYING,1
0.1873128,0.7884423,0.5740189,LAYING,1
0.1885165,0.7843387,0.574373,LAYING,1
0.1880124,0.781358,0.5751595,LAYING,1
0.1898361,0.7870995,0.5752362,LAYING,1
0.1900367,0.7931665,0.5735745,LAYING,1
0.1871269,0.7919484,0.5734398,LAYING,1
0.1874528,0.7914384,0.5726826,LAYING,1
0.1886946,0.7922617,0.5723863,LAYING,1
0.1889127,0.7890187,0.5752131,LAYING,1
0.188989,0.7871617,0.5791237,LAYING,1
0.1877064,0.7868138,0.5837655,LAYING,1
0.1873145,0.785404,0.5861577,LAYING,1
0.1873515,0.7867251,0.5807176,LAYING,1
0.1863846,0.7880699,0.5716622,LAYING,1
0.1850684,0.7890216,0.5699569,LAYING,1
0.1845542,0.7895343,0.5694539,LAYING,1
0.186687,0.7881981,0.5624127,LAYING,1
0.1881883,0.7891301,0.5627721,LAYING,1
0.1881533,0.7891508,0.5725807,LAYING,1
0.1908898,0.7883622,0.5787106,LAYING,1
0.1938947,0.7893741,0.5773368,LAYING,1
0.1917398,0.7882993,0.5753571,LAYING,1
0.1887961,0.7870317,0.5806614,LAYING,1
0.1896385,0.7865656,0.5827673,LAYING,1
0.1864303,0.7891247,0.5766651,LAYING,1
0.1813707,0.7932535,0.5736188,LAYING,1
0.1844867,0.7907321,0.5737276,LAYING,1
0.1878606,0.7879289,0.5740702,LAYING,1
0.187444,0.7884586,0.5735471,LAYING,1
0.188827,0.7868944,0.5743327,LAYING,1
0.1900066,0.7863586,0.5770452,LAYING,1
0.1899281,0.786346,0.5774456,LAYING,1
0.1877894,0.7854429,0.5798479,LAYING,1
0.1849681,0.7853461,0.5813002,LAYING,1
0.1859868,0.7835966,0.5791767,LAYING,1
0.1867625,0.7832055,0.5789007,LAYING,1
0.1854357,0.7864312,0.5781308,LAYING,1
0.1853154,0.7882425,0.5772778,LAYING,1
0.1846585,0.7878436,0.5757983,LAYING,1
0.184675,0.7881805,0.5736317,LAYING,1
0.1870991,0.7899951,0.574121,LAYING,1
0.1887997,0.7899708,0.5745601,LAYING,1
0.1892318,0.7881938,0.574494,LAYING,1
0.189033,0.7888815,0.5748589,LAYING,1
0.1895467,0.7892587,0.574975,LAYING,1
0.1908211,0.7883311,0.5730105,LAYING,1
0.189907,0.7883785,0.57063,LAYING,1
0.1882077,0.7879398,0.5718501,LAYING,1
0.1872581,0.7880265,0.5734508,LAYING,1
0.1869404,0.7875435,0.5733911,LAYING,1
0.1872036,0.7860428,0.5709664,LAYING,1
0.186639,0.7865345,0.5692065,LAYING,1
0.1874339,0.7880364,0.5739325,LAYING,1
0.1881675,0.7902052,0.5780243,LAYING,1
0.1872878,0.7908295,0.5756637,LAYING,1
0.1894016,0.7888547,0.5734397,LAYING,1
0.191117,0.7886935,0.5736838,LAYING,1
0.189689,0.7894068,0.5714614,LAYING,1
0.1884131,0.7905093,0.5683232,LAYING,1
0.1874236,0.7920248,0.5667232,LAYING,1
0.1890117,0.7890915,0.5655302,LAYING,1
0.1912761,0.7834578,0.568482,LAYING,1
0.1902358,0.7810431,0.5737729,LAYING,1
0.1898477,0.7837031,0.578674,LAYING,1
0.1899433,0.7869141,0.5798826,LAYING,1
0.18642,0.7866727,0.5749536,LAYING,1
0.1826142,0.7884094,0.5734201,LAYING,1
0.1837206,0.7913227,0.5716161,LAYING,1
0.1887543,0.7892928,0.5722729,LAYING,1
0.1932297,0.7869303,0.5804601,LAYING,1
0.1939644,0.7866909,0.5777135,LAYING,1
0.1925255,0.7862067,0.5740555,LAYING,1
